Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	True	True	True	True	True	True	False	True
3	False	False	True	False	True	False	False	True
5	False	False	True	True	False	False	True	True
9	False	False	True	True	True	True	False	True
12	True	True	True	True	True	True	True	True
13	False	True	True	True	True	True	False	True
14	True	False	False	True	True	False	False	True
16	False	True	False	True	True	False	True	False
20	True	True	True	True	True	True	False	True
