Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10
1	True	True	False	True	True	True	True	True	True	True
2	True	True	True	True	True	True	True	True	False	False
3	True	True	True	False	False	True	False	False	False	False
5	True	True	True	False	False	False	False	True	True	False
9	True	False	True	True	False	True	True	False	True	True
12	True	False	True	True	False	True	True	True	True	True
13	True	True	True	False	False	True	True	True	True	True
14	True	True	True	True	True	True	True	False	True	True
16	False	False	True	True	True	True	False	False	True	False
20	True	True	True	True	False	True	True	True	True	True
