Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	False	False	True	True	True
2	False	True	True	False	True	True	False	True
3	True	True	True	False	False	True	False	True
5	False	True	True	True	False	False	False	False
9	False	True	False	True	True	True	True	False
12	True	True	True	True	True	True	True	True
13	True	True	True	True	False	True	True	False
14	False	False	True	True	True	False	True	False
16	True	False	False	False	True	False	False	False
20	True	True	True	True	True	False	False	True
