Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9
1	False	True	True	True	True	True	True	False	True
2	True	True	True	True	True	True	True	True	True
3	True	False	True	True	True	True	False	False	False
5	False	True	False	False	False	True	False	False	False
9	True	True	True	True	True	True	True	True	True
12	True	True	True	True	True	True	True	True	True
13	True	False	True	True	False	True	True	False	True
14	False	False	True	False	False	False	False	True	True
16	False	True	True	True	True	True	False	True	False
20	True	True	True	True	True	True	True	True	True
