Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10
1	True	True	True	True	True	True	True	True	True	False
2	True	False	True	True	True	True	True	True	True	False
3	True	False	True	True	True	False	False	True	False	False
5	False	False	False	False	True	False	False	False	False	False
9	False	True	True	False	True	False	True	False	True	True
12	True	True	True	True	True	True	True	True	False	True
13	True	True	True	True	True	True	False	True	True	True
14	True	False	False	False	True	False	False	True	False	False
16	True	False	False	False	False	True	True	False	True	True
20	True	True	True	True	False	True	True	True	True	True
