Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	False	True	True	False	True	False	False	True
3	True	True	False	False	False	False	True	False
5	True	False	False	False	True	False	True	False
9	True	False	True	True	True	False	True	True
12	True	True	True	True	False	True	True	True
13	False	True	True	True	True	False	True	True
14	False	False	False	True	False	True	False	False
16	True	True	False	False	False	False	True	True
20	True	True	True	True	True	True	True	False
