Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9
1	True	True	True	True	True	True	True	True	True
2	True	True	True	True	False	True	False	True	False
3	True	True	True	False	True	False	False	False	True
5	True	True	True	False	True	False	True	False	True
9	True	True	True	True	True	True	True	True	True
12	True	True	True	True	True	True	True	True	True
13	False	False	True	True	True	True	True	True	True
14	True	False	True	False	True	True	False	True	True
16	False	False	False	True	False	False	False	False	False
20	True	True	False	True	True	True	True	True	True
