Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10	Copy_11
1	True	True	True	True	True	True	False	True	True	True	False
2	True	True	True	True	False	True	False	True	True	False	False
3	False	True	False	False	True	True	True	True	True	True	False
5	True	False	False	False	True	False	True	False	True	False	True
9	True	True	True	True	True	True	True	True	True	True	True
12	True	True	True	False	False	True	True	True	True	True	True
13	False	True	True	True	False	True	True	False	True	True	True
14	True	False	False	True	False	True	True	False	False	False	True
16	False	True	False	True	True	True	False	True	False	False	True
20	True	True	True	False	True	True	True	True	True	True	True
