Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9
1	True	True	True	True	True	True	True	True	True
2	True	True	True	True	True	True	True	True	True
3	False	False	True	False	False	False	False	False	True
5	False	False	False	False	False	False	True	True	True
9	False	True	True	True	True	True	True	True	True
12	True	True	True	True	True	True	True	True	True
13	True	True	True	True	True	True	True	True	True
14	False	False	False	False	False	False	True	True	True
16	False	True	False	False	True	True	False	True	True
20	True	True	True	True	True	True	True	True	True
