Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	False	False	False	False	True	True	True	True
3	False	False	True	False	False	False	False	False
5	True	False	False	False	True	False	True	True
9	False	False	True	False	True	True	True	False
12	True	True	True	True	True	True	True	True
13	True	False	True	False	False	True	False	True
14	False	True	False	True	False	False	False	True
16	False	False	False	False	False	True	False	True
20	True	True	True	True	True	True	True	True
