Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9
1	True	True	True	True	True	True	True	False	True
2	True	True	True	False	True	False	True	True	False
3	False	True	True	False	False	False	True	True	False
5	False	False	True	False	False	True	False	False	True
9	True	True	True	True	True	True	True	False	False
12	True	True	True	True	True	True	True	True	True
13	True	True	True	False	True	True	True	False	True
14	True	True	True	True	False	True	False	True	True
16	False	True	False	False	True	True	True	True	False
20	True	True	True	True	True	True	True	True	True
