Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10	Copy_11
1	True	True	True	True	True	True	True	True	True	False	True
2	True	True	True	True	True	False	True	True	False	False	True
3	True	True	True	False	True	True	False	False	True	False	True
5	False	False	True	True	True	False	True	True	False	True	False
9	True	True	True	False	False	True	True	False	True	False	True
12	True	True	True	True	True	True	True	True	True	True	True
13	False	True	True	True	True	True	False	True	True	True	True
14	False	True	False	True	True	False	False	True	False	True	False
16	False	False	False	False	False	False	False	False	False	False	False
20	False	True	True	True	True	True	False	True	True	False	True
