Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10	Copy_11
1	True	True	True	False	True	True	True	True	True	True	False
2	True	True	True	True	False	True	True	False	True	True	True
3	False	False	True	False	False	True	True	True	True	True	True
5	False	False	False	False	True	False	False	False	False	True	True
9	True	True	True	False	True	True	True	True	True	True	False
12	True	True	True	True	True	True	True	True	True	True	True
13	True	False	True	True	False	True	True	True	True	True	False
14	True	False	False	True	False	True	False	False	True	True	False
16	False	False	True	False	False	True	False	False	True	False	False
20	True	False	True	True	False	True	False	False	True	False	True
