Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	False	True	True	True	False
2	True	True	True	True	False	False	True	True
3	True	True	True	False	False	False	True	False
5	False	False	True	False	True	False	False	False
9	True	True	True	True	True	True	True	True
12	False	True	True	True	True	True	True	True
13	True	True	True	True	True	True	True	True
14	True	False	True	True	True	True	False	False
16	True	False	True	False	True	False	True	False
20	False	True	False	True	True	True	True	True
