Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	False	True	True
2	True	False	True	True	False	False	True	True
3	True	True	True	True	True	False	True	True
5	True	False	False	True	True	False	False	True
9	True	True	False	True	True	True	True	False
12	True	True	True	True	True	True	True	False
13	True	True	True	False	True	True	False	True
14	False	True	True	False	False	True	False	False
16	False	False	False	False	False	False	True	True
20	True	True	True	False	True	True	True	True
