Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	False	True	True	True	True	True	False	True
2	True	False	False	True	True	False	True	False
3	False	True	False	True	True	False	True	True
5	False	True	False	False	True	False	True	False
9	True	False	True	False	True	True	False	True
12	True	True	True	True	True	True	True	True
13	False	True	True	True	False	True	True	False
14	False	True	False	True	True	False	True	True
16	False	False	False	False	True	True	False	False
20	True	True	False	False	True	False	False	False
