Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9
1	True	True	True	True	True	True	True	False	True
2	True	False	False	True	True	True	True	True	True
3	False	False	False	True	False	False	True	True	False
5	False	False	True	False	False	True	True	False	False
9	True	True	True	False	True	True	False	True	True
12	True	True	True	True	True	True	True	True	True
13	True	True	True	False	True	True	False	False	False
14	True	False	False	True	False	True	False	False	True
16	True	True	False	True	False	False	False	True	False
20	True	True	True	True	False	False	True	True	True
