Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10
1	True	True	True	True	True	True	True	True	True	True
2	True	True	True	True	True	True	True	True	False	True
3	False	True	True	True	True	True	False	True	False	False
5	False	False	True	False	True	True	False	True	False	True
9	True	True	True	True	True	True	False	True	True	True
12	True	True	True	True	False	True	True	True	True	True
13	True	True	True	True	False	True	False	False	True	True
14	False	True	False	False	False	False	False	False	False	True
16	False	False	True	True	False	True	False	True	False	False
20	True	True	True	True	True	True	True	False	True	True
