Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10	Copy_11
1	True	False	True	False	True	True	True	True	True	True	True
2	True	True	True	False	True	True	True	True	True	False	True
3	False	False	False	True	False	True	True	False	True	True	False
5	False	True	False	True	True	False	True	False	True	True	False
9	True	False	True	True	True	True	False	True	True	True	False
12	True	True	True	True	True	True	True	True	True	True	True
13	True	True	True	True	True	True	True	True	True	True	True
14	False	False	False	True	False	False	False	False	True	False	True
16	False	False	True	False	True	False	True	True	True	False	True
20	True	True	True	True	True	True	True	True	True	True	True
