Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7
1	True	True	False	False	True	True	True
2	False	False	False	False	False	False	False
4	True	True	False	False	False	False	False
8	True	False	True	False	True	True	True
