Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,DLCILS,Loss,Hemiplasy,RHemiplasy
True Process,0,"((F,F),(((((J,J),I),G),I),((L,L),(K,K))));","((((A,(B,C)),D),(E,F)), (((G,(H,I)),J),(K,L)));",11,18,7,9,1,10
True Process,1,"((((F,(((E,E),E),D)),((C,(A,B)),D)),(((K,L),(H,((J,I),I))),(((L,K),K),(K,(J,(H,(I,G))))))),(K,L));","((((A,(B,C)),D),(E,F)), (((G,(H,I)),J),(K,L)));",13,21,11,9,0,10
True Process,2,"((((I,J),(K,((G,I),((J,I),H)))),(((G,G),H),J)),(((B,A),C),D));","((((A,(B,C)),D),(E,F)), (((G,(H,I)),J),(K,L)));",8,30,10,6,1,7
True Process,3,"((((K,L),((H,I),(((G,I),J),(((J,(H,G)),J),I)))),K),(((((((A,A),(C,B)),B),(((B,B),(C,A)),D)),F),((D,D),(((C,B),A),D))),(J,G)));","((((A,(B,C)),D),(E,F)), (((G,(H,I)),J),(K,L)));",16,28,17,12,1,18
True Process,4,"(((((G,J),I),L),((((K,K),L),K),(G,(I,H)))),(((K,L),((L,L),((K,K),L))),(((G,(H,I)),(J,((((I,I),I),G),H))),((I,((G,G),H)),J))));","((((A,(B,C)),D),(E,F)), (((G,(H,I)),J),(K,L)));",16,16,11,8,1,12
True Process,5,"(E,K);","((((A,(B,C)),D),(E,F)), (((G,(H,I)),J),(K,L)));",1,4,2,5,0,4
True Process,7,"((((F,F),F),E),(B,(A,C)));","((((A,(B,C)),D),(E,F)), (((G,(H,I)),J),(K,L)));",2,6,1,2,0,2
True Process,8,"(((B,C),(F,(((((D,D),B),(C,A)),D),E))),((K,L),(I,((G,H),J))));","((((A,(B,C)),D),(E,F)), (((G,(H,I)),J),(K,L)));",4,13,5,4,0,6
reconcILS,8,"(((L  E,(B_1,C_1)),(F_2,(((((D_2,D_4),B_2),(C_2,A_2)),D_3),E_2))),((K_1,L_5),(I_1,((L  I,(G_1,H_1)),J_1))));","((((A,(B,C)),D),(E,F)), (((G,(H,I)),J),(K,L)));",3,6,0,3,0,0
True Process,9,"((G,I),J);","((((A,(B,C)),D),(E,F)), (((G,(H,I)),J),(K,L)));",1,5,2,4,1,4
True Process,10,"((((A,A),(((B,C),A),(((D,D),D),(A,C)))),(F,E)),((L,K),((I,I),((J,(I,H)),((I,H),G)))));","((((A,(B,C)),D),(E,F)), (((G,(H,I)),J),(K,L)));",12,14,8,7,0,9
True Process,11,"((((I,I),((J,G),(H,G))),((I,(G,H)),((L,L),K))),((J,H),((L,L),K)));","((((A,(B,C)),D),(E,F)), (((G,(H,I)),J),(K,L)));",10,12,6,8,1,8
True Process,12,"(((((L,L),((H,G),((((L,L),L),((K,K),K)),L))),(L,K)),((((A,C),A),(D,(F,E))),((E,E),F))),((H,G),I));","((((A,(B,C)),D),(E,F)), (((G,(H,I)),J),(K,L)));",16,25,12,8,1,9
reconcILS,12,"(((L  E,(((L_1,L_13),((H_6,G_6),((((L_14,L_15),L_12),((K_8,K_11),K_10)),L_8))),(L_9,K_9))),((((A_1,C_1),A_2),(D_1,(F_3,E_3))),(L  A,(L  B,((E_1,E_4),F_1))))),((L  L,L  K)L,(L  J,((H_5,G_7),(L  H,I_5)))));","((((A,(B,C)),D),(E,F)), (((G,(H,I)),J),(K,L)));",12,6,0,8,0,0
