Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,293,"(A,((((H,(F,(G,(E,(I,(D,C)))))),(N,(M,(L,K)))),((O,(R,(Q,(P,S)))),T)),(V,((W,B),U))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",1,12,5
ete3,293,"((((((W,V),(B,U)),((V,W),(U,B))),((W,V),(B,U))),((T,(((((O,((Q,R),P)),S),(S,(O,((R,Q),P)))),(S,(O,((Q,R),P)))),(S,(((Q,R),P),O)))),((J,(((((((E,(H,D)),((I,C),(G,F))),((E,(D,H)),((C,I),(G,F)))),(((D,H),E),((C,I),(G,F)))),((E,(D,H)),((C,I),(F,G)))),((E,(D,H)),((C,I),(G,F)))),((E,(D,H)),((C,I),(G,F))))),(((N,M),(K,L)),((K,L),(M,N)))))),A);","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",4,0,64
reconcILS,1094,"(A,(((((S,(R,(C,(I,(F,(H,(P,Q))))))),(((K,T),D),E)),(J,(O,(M,N)))),L),((W,U),(V,B))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",4,13,26
ete3,1094,"(((((W,V),(U,B)),((V,W),(B,U))),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),((((((K,L),(N,M)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(((Q,R),P),O)))),((((K,L),(M,N)),(((E,(D,H)),((C,I),(G,F))),J)),(T,(S,(O,((Q,R),P)))))),((((((K,L),(M,N)),(J,(((D,H),E),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),(((((K,L),(M,N)),(J,((E,(H,D)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),((((L,K),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),((S,(O,((Q,R),P))),T)))),(((((((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((R,Q),P))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((I,C),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,((O,((Q,R),P)),S)))))))),A);","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",2,0,167
reconcILS,141,"(A,((((C,(L,(E,J))),(I,(G,F))),(M,N)),(D,(H,((O,(R,(P,(S,Q)))),(U,(W,(V,B))))))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",1,17,8
ete3,141,"(((((((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(((((O,((R,Q),P)),S),(S,(O,((Q,R),P)))),(S,(O,((Q,R),P)))),(S,(((Q,R),P),O))))),((((W,V),(U,B)),((V,W),(B,U))),((W,V),(B,U)))),(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))),(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(H,D)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))),(((W,V),(B,U)),((T,(S,(O,((Q,R),P)))),((((K,L),(N,M)),(J,((E,(D,H)),((C,I),(G,F))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(F,G))))),((((K,L),(M,N)),((((D,H),E),((C,I),(G,F))),J)),(((K,L),(M,N)),(J,((E,(D,H)),((I,C),(G,F))))))))))),A);","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",4,0,137
reconcILS,966,"(((((H,(D,(N,(F,(G,(E,(C,(M,(I,(K,L)))))))))),J),((((O,P),Q),R),S)),(U,(W,(V,B)))),A);","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",2,17,10
ete3,966,"(A,(((((W,V),(U,B)),((V,W),(B,U))),((W,V),(B,U))),((T,(S,((O,((Q,R),P)),((O,((R,Q),P)),(((Q,R),P),O))))),((((K,L),(M,N)),(((E,(D,H)),((C,I),(G,F))),J)),(((((((((((M,N),(L,K)),(J,((E,(D,H)),((C,I),(G,F))))),(((K,L),(N,M)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((I,C),(G,F)))))),(((K,L),(M,N)),(J,(((D,H),E),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(F,G)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(H,D)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))))))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",3,0,136
reconcILS,1700,"(A,((((((C,J),(F,(G,(E,(D,(H,I)))))),(((O,(S,P)),Q),T)),(L,(N,M))),K),(W,(B,(V,U)))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",1,15,5
ete3,1700,"((((((W,V),(B,U)),((W,V),(U,B))),((V,W),(B,U))),(((((L,K),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),((((J,((E,(D,H)),((C,I),(G,F)))),((K,L),(M,N))),(T,(S,(O,((Q,R),P))))),((((K,L),(M,N)),((J,((((((E,(D,H)),((C,I),(G,F))),((E,(H,D)),((C,I),(G,F)))),(((D,H),E),((C,I),(G,F)))),((E,(D,H)),((C,I),(F,G)))),((E,(D,H)),((C,I),(G,F))))),(((E,(D,H)),((I,C),(G,F))),J))),(T,((S,(O,((R,Q),P))),(((O,((Q,R),P)),S),(S,(((Q,R),P),O))))))))),A);","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",5,0,89
