Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,1557,"(((((((((Q,(((P,S),R),((((((((((H,N),Y),X),(((T,W),V),U)),J),I),M),L),O),K))),(Z,G)),AA),AB),A),(B,AC)),(E,D)),C),F);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",4,28,17
ete3,1557,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(F,(D,E))),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((B,(((C,(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AB,AA))),(((AA,AB),(G,Z)),((((((((U,(W,V)),T),X),Y),(((((L,K),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((I,M),J)),O),((S,R),(Q,P)))),((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((((X,((((W,V),U),T),(((U,(W,V)),T),((U,(V,W)),T)))),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),(((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))))))))))),(((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),(((S,R),(Q,P)),((R,S),(Q,P)))))),(((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(P,Q))))))))),((E,D),F)),A)),AC)))));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",8,0,315
reconcILS,293,"((((((Z,(G,AB)),AA),((Y,((((W,U),X),V),T)),((((P,S),R),Q),((((((M,H),I),L),J),N),K)))),(F,(E,D))),AC),(A,C));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",1,15,6
ete3,293,"(((B,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A)),AC),(((A,((C,((((O,((((L,K),(N,H)),((M,I),J)),((((K,L),(H,N)),((M,I),J)),((((K,L),(N,H)),((M,I),J)),((((K,L),(N,H)),((M,I),J)),((((K,L),(N,H)),((M,I),J)),(((K,L),(N,H)),((I,M),J)))))))),(((S,R),(P,Q)),(((S,R),(Q,P)),((R,S),(Q,P))))),(((((U,(W,V)),T),X),((((U,(W,V)),T),X),((T,((V,W),U)),X))),Y)),(((Z,G),(AB,AA)),(((Z,G),(AA,AB)),((G,Z),(AA,AB)))))),((D,E),F))),B),AC));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",5,0,88
reconcILS,1094,"((((((((AA,(Z,AB)),G),(Q,((((S,R),T),O),((J,(I,(Y,P))),(((((((V,X),U),H),K),M),W),N))))),(F,(E,D))),B),C),AC),A);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",4,17,27
ete3,1094,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(AC,(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((A,((C,((((((((((U,(W,V)),T),X),Y),(((((K,L),(H,N)),((M,I),J)),O),((S,R),(Q,P)))),((((((U,(V,W)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((I,M),J)),O),((S,R),(Q,P)))),((((((U,(W,V)),T),X),Y),(((((L,K),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Y,(((((W,V),U),T),X),(((U,(W,V)),T),X))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))))))),(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),(((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))))),(((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))))),((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),(((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((Q,P),(R,S)))))),(((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(P,Q))))),(((Z,G),(AA,AB)),(((G,Z),(AA,AB)),((Z,G),(AB,AA)))))),((D,E),F))),B))));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",5,0,206
reconcILS,141,"((A,(((((((((((G,AA),AB),Z),((((V,U),X),T),W)),M),I),((S,R),(((K,L),N),(((O,J),H),Q)))),F),(E,D)),B),C)),AC);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",1,19,9
ete3,141,"(AC,((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((A,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(F,(D,E))),((C,(((((((U,(W,V)),T),X),Y),(((((S,R),(P,Q)),(((((K,L),(N,H)),((M,I),J)),O),((((K,L),(N,H)),((M,I),J)),O))),(((((M,I),J),((H,N),(L,K))),O),((S,R),(Q,P)))),(((((K,L),(N,H)),((M,I),J)),O),((Q,P),(R,S))))),((Z,G),(AA,AB))),(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((I,M),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),(((Y,((((U,(V,W)),T),X),((((U,(W,V)),T),X),((T,((W,V),U)),X)))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),(((G,Z),(AA,AB)),(((Z,G),(AA,AB)),((Z,G),(AB,AA))))))))),((E,D),F)))),B)),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B)));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",7,0,201
reconcILS,966,"(((((((G,AA),AB),Z),((X,(W,(V,(U,T)))),(O,((((((((((N,J),M),H),K),L),R),I),S),P),Q)))),((F,(E,D)),(B,C))),AC),A);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",3,19,11
ete3,966,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(AC,((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A),B)),((((C,(((Y,((((((W,V),U),T),((U,(W,V)),T)),((U,(V,W)),T)),X)),(((((((K,L),(N,H)),((M,I),J)),O),((S,R),(P,Q))),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),((((((K,L),(N,H)),((M,I),J)),O),((R,S),(Q,P))),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),((O,((((K,L),(N,H)),((M,I),J)),((((L,K),(N,H)),((M,I),J)),((((K,L),(N,H)),((M,I),J)),((((K,L),(N,H)),((I,M),J)),(((K,L),(H,N)),((M,I),J))))))),((S,R),(Q,P))))))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))))),(((G,Z),(AA,AB)),(((Z,G),(AA,AB)),((Z,G),(AB,AA)))))),((E,D),F)),A),B))));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",6,0,193
reconcILS,1700,"(((((((Z,AB),AA),G),(P,(((Q,S),R),((Y,(V,((X,U),T))),((((((I,J),N),K),L),M),(O,H)))))),AC),((F,(B,(E,D))),A)),C);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",2,22,10
ete3,1700,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((AC,(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(F,(D,E))),A),B),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B)))),(((((C,(((((((S,R),(Q,P)),(((((K,L),(N,H)),((M,I),J)),O),(O,((((K,L),(N,H)),((I,M),J)),((((K,L),(N,H)),((M,I),J)),((((L,K),(N,H)),((M,I),J)),(((K,L),(H,N)),((M,I),J)))))))),((((((U,(W,V)),T),X),((((W,V),U),T),X)),(((U,(W,V)),T),X)),Y)),(((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),(((S,R),(Q,P)),((R,S),(P,Q)))))),(((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))))),(((Z,G),(AA,AB)),(((Z,G),(AB,AA)),((G,Z),(AA,AB)))))),((E,D),F)),A),B),AC)));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",9,0,196
reconcILS,1232,"((AC,B),(((((((G,AA),AB),Z),(X,((Y,((U,(W,V)),T)),(((P,Q),R),(((((((O,M),L),K),H),N),J),I))))),((E,F),D)),A),C));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",3,14,14
ete3,1232,"(((B,((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),(A,((C,(((((((((K,L),(N,H)),((M,I),J)),O),(((((K,L),(N,H)),((M,I),J)),O),(((((K,L),(H,N)),((M,I),J)),O),(((((K,L),(N,H)),((M,I),J)),O),(((((L,K),(N,H)),((M,I),J)),O),(((((K,L),(N,H)),((M,I),J)),O),((((K,L),(N,H)),((I,M),J)),O))))))),((S,R),(Q,P))),((X,(T,((V,W),U))),Y)),(((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))))),(((G,Z),(AA,AB)),(((Z,G),(AA,AB)),((Z,G),(AB,AA)))))),(((E,D),F),((D,E),F)))))),AC),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",6,0,119
reconcILS,462,"((((((((AB,AA),Z),((K,L),((P,Q),((S,R),(((((N,M),O),H),I),J))))),(((U,V),W),T)),X),Y),C),(((E,(B,AC)),(F,D)),A));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",4,16,17
ete3,462,"(((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A),B),AC)))),((((((E,D),F),(C,(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),(((((X,(T,((U,(V,W)),((W,V),U)))),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),((((((U,(W,V)),T),X),Y),(((((Q,P),(R,S)),(((((K,L),(N,H)),((M,I),J)),O),(((((K,L),(N,H)),((M,I),J)),O),(((((K,L),(N,H)),((M,I),J)),O),(O,(((K,L),(H,N)),((I,M),J))))))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),(((((N,H),(L,K)),((M,I),J)),O),((S,R),(Q,P))))),((G,Z),(AA,AB)))))))),A),B),AC));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",8,0,239
