Repliccate,Gene_trees
635,"(((((((B,V),U),W),((E,D),(((N,M),(L,K)),(((H,J),F),I)))),S),(T,(((Q,R),P),O))),A);"
994,"((((((W,V),U),B),(I,((H,((G,(L,((N,M),K))),(((D,F),E),J))),C))),(T,(((R,Q),(S,P)),O))),A);"
1342,"(((((W,V),U),B),((T,(S,(((Q,O),P),R))),(N,(((L,K),J),(((E,H),D),(G,((I,F),C))))))),A);"
1492,"((((W,V),B),((S,((R,P),O)),(T,(((I,M),N),((G,K),(L,((F,J),(((E,H),D),C)))))))),A);"
568,"((((B,W),V),((S,(((R,Q),P),O)),(T,(((G,((F,I),((E,H),D))),((M,(N,(L,K))),J)),C)))),A);"
1379,"(((((((((B,V),(U,J)),I),N),((((H,G),E),F),D)),C),((S,T),((L,R),(K,(W,(P,O)))))),Q),A);"
1038,"(A,((((U,B),W),V),((S,((R,Q),(P,O))),(E,(F,(((N,K),((J,L),G)),(((D,H),I),C)))))));"
995,"((((((B,W),V),U),(R,((Q,P),((S,T),O)))),(L,(I,(M,((((((((J,N),D),H),F),G),K),E),C))))),A);"
1384,"((A,V),((((S,((Q,P),R)),(O,(T,(((N,L),K),(((F,I),((E,H),D)),(J,C)))))),(U,B)),W));"
1642,"((((((((B,(U,W)),V),O),((P,R),Q)),T),S),((D,((((L,N),M),K),J)),(((((I,E),C),F),H),G))),A);"
18,"(((((U,V),W),B),F),(O,((S,(E,(D,J))),((L,H),((I,(((R,Q),T),((N,K),M))),((G,P),C))))));"
1176,"(((((U,B),W),V),((S,((T,P),(R,O))),(N,((M,(L,K)),(F,(((((E,H),D),C),J),G)))))),A);"
565,"((((W,V),U),B),(((D,(Q,(R,((S,T),(P,O))))),(((N,M),(F,G)),(((H,E),L),J))),(I,(K,C))));"
132,"(((((((W,V),U),I),(F,((((E,H),D),(L,((N,M),K))),C))),J),G),(T,(Q,(R,((S,P),O)))));"
1154,"(((((U,B),W),V),((((S,Q),T),O),((((L,(N,M)),K),J),(((F,I),(G,(E,(H,D)))),C)))),A);"
500,"((((B,V),W),((T,(S,(((R,Q),P),O))),(((N,M),(L,K)),(J,(E,((((G,F),H),(I,C)),D)))))),A);"
1243,"((((W,V),B),U),(((O,(R,(T,P))),(S,Q)),(D,(F,(I,(H,(E,(G,(J,((L,((M,N),K)),C))))))))));"
1307,"((((W,V),B),(S,((((R,Q),P),O),(T,(((N,M),L),(J,(((F,I),G),(((E,D),H),C)))))))),A);"
1450,"(((((((((((((U,B),W),(N,M)),K),(J,(((F,G),I),(((D,E),H),C)))),L),S),O),P),Q),R),T),A);"
578,"((((B,V),(U,W)),(((S,T),(((R,Q),P),O)),(J,((((H,I),G),D),(F,((N,(L,(M,K))),C)))))),A);"
1774,"((((W,V),(U,B)),(S,((T,(((Q,R),P),O)),(L,(((G,K),(((((F,D),J),I),E),H)),((N,M),C)))))),A);"
1090,"(((((U,V),B),(T,(((((Q,R),P),S),O),(L,((E,J),((((N,M),(H,D)),K),(((C,F),I),G))))))),W),A);"
324,"((((W,V),(U,B)),(K,(P,((T,((S,(R,Q)),O)),(((N,M),L),(((G,E),H),((I,J),(F,C)))))))),A);"
530,"(((((I,((F,G),((D,H),E))),K),(J,((N,M),(L,C)))),(((B,V),W),U)),(R,((S,T),((Q,O),P))));"
1067,"((((U,B),W),V),(((S,T),(((Q,P),R),O)),((((N,M),L),K),((E,(H,D)),(J,(F,((G,I),C)))))));"
