Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,9585,"(((((((C,C),(((D,D),(H,H)),((E,(G,F)),I))),J),((K,L),(M,(N,N)))),(((O,(P,(Q,(R,R)))),(S,S)),T)),(V,(W,(B,U)))),A);","(A,(((W,V),(B,U)),((((K,L),(M,(N,N))),(J,((E,((D,D),(H,H))),(((C,C),I),(G,F))))),(T,((S,S),(O,((Q,(R,R)),P)))))));",6,5,0
ete3,9585,"(A,((((V,W),(U,B)),((U,B),(W,V))),((T,((S,S),((((R,R),Q),P),O))),((((N,N),M),(L,K)),(J,((((((F,G),(C,I)),((H,D),E)),(((I,C),(F,G)),((H,D),E))),(((F,G),(I,C)),(E,((H,H),(D,D))))),(((F,G),(I,(C,C))),((H,D),E))))))));","(A,(((W,V),(B,U)),((((K,L),(M,(N,N))),(J,((E,((D,D),(H,H))),(((C,C),I),(G,F))))),(T,((S,S),(O,((Q,(R,R)),P)))))));",8,0,25
reconcILS,9842,"(((((D,(I,(I,(D,(D,(H,(I,(H,(G,C))))))))),((J,(J,(J,J))),E)),((((K,(K,K)),(M,N)),L),(((O,(R,(Q,P))),S),(T,(T,(T,T)))))),(F,(F,F))),(U,(((W,(W,W)),(B,B)),(V,V))));","(A,((((W,(W,W)),(V,V)),((B,B),U)),(((((K,(K,K)),L),(M,N)),((((J,J),J),J),(((((E,((D,D),(H,H))),(((C,(I,I)),(G,F)),((C,I),(G,F)))),((E,(D,H)),((C,I),(G,F)))),((E,(D,H)),((C,I),(G,F)))),((E,(D,H)),((C,I),(G,((F,F),F))))))),((T,(T,(T,T))),(S,(O,((Q,R),P)))))));",21,19,13
ete3,9842,"(((((U,B),(W,(V,V))),((U,(B,B)),(V,((W,W),W)))),((B,U),(V,W))),((((((P,(R,Q)),O),S),T),(((((G,((F,F),F)),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((((F,G),(I,C)),((H,D),E)),J),(((N,M),(K,L)),((L,((K,K),K)),(N,M)))),((((T,T),T),T),(S,((((R,Q),P),(P,(Q,R))),O)))),(((((P,(R,Q)),O),S),T),(((N,M),(L,K)),(((((F,G),(I,C)),((H,D),E)),(((J,J),J),J)),(J,((((((((((D,H),E),((F,G),(I,C))),(((F,G),(C,I)),((H,D),E))),(((F,G),(I,C)),((D,H),E))),(((F,G),(I,C)),((H,D),E))),(((F,G),(I,C)),((H,D),E))),(((F,G),(C,I)),((H,D),E))),(((F,G),(C,I)),((H,D),E))),(((F,G),(I,C)),((H,D),E))))))))));","(A,((((W,(W,W)),(V,V)),((B,B),U)),(((((K,(K,K)),L),(M,N)),((((J,J),J),J),(((((E,((D,D),(H,H))),(((C,(I,I)),(G,F)),((C,I),(G,F)))),((E,(D,H)),((C,I),(G,F)))),((E,(D,H)),((C,I),(G,F)))),((E,(D,H)),((C,I),(G,((F,F),F))))))),((T,(T,(T,T))),(S,(O,((Q,R),P)))))));",13,0,103
reconcILS,1774,"((A,(A,A)),((((((((((C,(C,(C,C))),L),F),(G,(I,(H,(D,(D,(E,H))))))),((J,(J,(J,J))),K)),((M,(M,(M,M))),(N,N))),(O,(R,(P,Q)))),S),T),((B,U),(V,W))));","((A,(A,A)),(((W,V),(B,U)),((((((K,L),(M,N)),(J,((E,((D,H),(D,H))),((((C,(C,(C,C))),I),(G,F)),((C,I),(G,F)))))),(((K,L),(M,N)),((J,(J,(J,J))),((E,(D,H)),((C,I),(G,F)))))),(((K,L),((M,(M,(M,M))),(N,N))),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))));",16,10,12
ete3,1774,"((((W,V),(U,B)),((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((S,((((R,Q),P),(P,(Q,R))),O)),T),((((((F,G),(I,C)),((H,D),E)),J),((L,K),((N,N),(((M,M),M),M)))),((((((F,G),(I,C)),((H,D),E)),(((J,J),J),J)),((N,M),(L,K))),(((J,((((F,G),(C,I)),(((((D,H),E),((H,D),E)),((H,D),E)),((D,H),E))),(((F,G),(I,C)),((H,D),E)))),((N,M),(L,K))),((((((G,F),(I,C)),((H,D),E)),J),((N,M),(L,K))),(((((F,G),(I,(((C,C),C),C))),((H,D),E)),J),((N,M),(K,L))))))))))),((A,A),A));","((A,(A,A)),(((W,V),(B,U)),((((((K,L),(M,N)),(J,((E,((D,H),(D,H))),((((C,(C,(C,C))),I),(G,F)),((C,I),(G,F)))))),(((K,L),(M,N)),((J,(J,(J,J))),((E,(D,H)),((C,I),(G,F)))))),(((K,L),((M,(M,(M,M))),(N,N))),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))));",10,0,100
reconcILS,4646,"(A,((((((C,I),((((D,(H,H)),E),F),(G,G))),J),((K,L),(M,N))),(((O,((P,(P,(P,P))),((Q,(Q,(Q,(Q,Q)))),R))),S),T)),(W,(V,(B,U)))));","(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,(H,H))),((C,I),((G,G),F))))),(T,(S,(O,(((Q,(Q,(Q,(Q,Q)))),R),(P,(P,(P,P))))))))));",9,3,0
ete3,4646,"(((((W,V),(U,B)),((U,B),(V,W))),((T,(S,(((R,((((Q,Q),Q),Q),Q)),(((P,P),P),P)),O))),(((N,M),(L,K)),(J,(((((F,(G,G)),(I,C)),((H,D),E)),(((G,F),(I,C)),(E,((H,H),D)))),(((F,G),(I,C)),((H,D),E))))))),A);","(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,(H,H))),((C,I),((G,G),F))))),(T,(S,(O,(((Q,(Q,(Q,(Q,Q)))),R),(P,(P,(P,P))))))))));",6,0,18
reconcILS,5234,"(A,(((((C,((((D,H),E),((G,G),F)),I)),(J,(J,(J,J)))),((K,L),(M,N))),((O,((P,P),(Q,R))),(T,S))),((B,(U,(U,(U,U)))),(V,W))));","(A,(((W,V),(B,(U,(U,(U,U))))),((((K,L),(M,N)),((J,(J,(J,J))),((E,(D,H)),((C,I),((G,G),F))))),(T,(S,(O,((Q,R),(P,P))))))));",8,4,0
ete3,5234,"((((W,V),((((U,U),U),U),B)),((((((P,(R,Q)),O),S),T),((S,(((R,Q),(P,P)),O)),T)),(((N,M),(L,K)),((((J,J),J),J),(((((F,G),(C,I)),((H,D),E)),(((I,C),(F,(G,G))),(E,(H,D)))),(((F,G),(I,C)),((H,D),E))))))),A);","(A,(((W,V),(B,(U,(U,(U,U))))),((((K,L),(M,N)),((J,(J,(J,J))),((E,(D,H)),((C,I),((G,G),F))))),(T,(S,(O,((Q,R),(P,P))))))));",6,0,20
reconcILS,4606,"(A,((((((C,I),((J,(G,(G,(G,G)))),(E,(H,D)))),(K,L)),(M,N)),F),((O,(O,P)),((Q,(Q,(Q,Q))),((R,(R,(R,R))),((T,(S,(S,(S,(S,S))))),((W,U),(V,B))))))));","(A,((((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),((G,(G,(G,G))),F))))),(T,(S,(O,((Q,R),P)))))),((((W,V),(B,U)),((W,V),(B,U))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),((T,((S,(S,(S,(S,S)))),(O,(((Q,(Q,(Q,Q))),(R,(R,(R,R)))),P)))),(T,(S,((O,O),((Q,R),P)))))))));",17,15,12
ete3,4606,"((((((((((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))),((((P,(R,Q)),O),((((S,S),S),S),S)),T)),(((U,B),(W,V)),((B,U),(V,W)))),((((((P,(Q,(((R,R),R),R))),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W)))),((((((P,(R,(((Q,Q),Q),Q))),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W)))),((((S,((((R,Q),P),O),((P,(R,Q)),O))),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W)))),((((((P,(R,Q)),O),S),T),((((((G,F),(I,C)),((H,D),E)),J),((N,M),(L,K))),((((((F,G),(I,C)),((H,D),E)),J),((L,K),(N,M))),(((N,M),(L,K)),((((((F,G),(I,C)),((D,H),E)),J),((((F,(((G,G),G),G)),(I,C)),((H,D),E)),J)),((((F,G),(I,C)),((H,D),E)),J)))))),((U,B),(V,W)))),A);","(A,((((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),((G,(G,(G,G))),F))))),(T,(S,(O,((Q,R),P)))))),((((W,V),(B,U)),((W,V),(B,U))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),((T,((S,(S,(S,(S,S)))),(O,(((Q,(Q,(Q,Q))),(R,(R,(R,R)))),P)))),(T,(S,((O,O),((Q,R),P)))))))));",9,0,142
reconcILS,6427,"(A,((((O,(R,(R,(Q,Q)))),(P,P)),(T,S)),(((((C,C),((((D,(H,H)),D),(E,E)),F)),(I,(G,G))),(J,((K,(N,(M,M))),L))),(V,((W,(W,W)),((B,(B,B)),U))))));","(A,((((W,(W,W)),V),((B,(B,B)),U)),((((K,L),((M,M),N)),(J,(((E,E),((D,D),(H,H))),((((C,C),I),(G,F)),((C,I),((G,G),F)))))),(T,(S,(O,(((Q,Q),(R,R)),(P,P))))))));",14,10,4
ete3,6427,"((((((((P,(R,Q)),O),S),T),((((((F,G),(I,C)),((H,D),E)),J),(((N,M),(K,L)),((L,K),((M,M),N)))),((J,((((H,D),E),((F,(G,G)),(C,I))),((((G,F),(I,C)),((E,E),((H,D),((H,H),D)))),(((F,G),(I,(C,C))),((H,D),E))))),((N,M),(L,K))))),(((V,((W,W),W)),(U,((B,B),B))),((U,B),(W,V)))),(((((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))),(((((P,(R,Q)),O),S),T),((S,((((R,Q),(P,P)),O),((P,(((Q,Q),R),(Q,R))),O))),T))),((U,B),(V,W)))),A);","(A,((((W,(W,W)),V),((B,(B,B)),U)),((((K,L),((M,M),N)),(J,(((E,E),((D,D),(H,H))),((((C,C),I),(G,F)),((C,I),((G,G),F)))))),(T,(S,(O,(((Q,Q),(R,R)),(P,P))))))));",18,0,62
reconcILS,7642,"(((Q,R),(((O,(T,T)),((P,P),S)),((((((((H,(I,(I,(C,(C,C))))),(((J,D),G),(F,F))),C),E),(K,K)),(N,(M,(M,N)))),L),(W,(B,(U,(V,(V,(V,(V,V)))))))))),A);","(A,(((W,(V,(V,(V,(V,V))))),(B,U)),(((((K,K),L),((M,N),(M,N))),((J,((E,(D,H)),((C,I),(G,F)))),((J,((E,(D,H)),((C,I),(G,F)))),((J,((E,(D,H)),((C,I),(G,(F,F))))),(J,((E,(D,H)),(((C,(C,C)),(I,I)),(G,F)))))))),((T,T),(S,(O,((Q,R),(P,P))))))));",15,18,14
ete3,7642,"(A,((((((((P,(R,Q)),O),S),T),((((((F,G),(I,C)),((H,D),E)),J),((N,M),(K,L))),((((((F,G),(I,C)),((H,D),E)),J),((L,K),(((N,M),(N,M)),(M,N)))),(((N,M),(L,(K,K))),(((((F,G),(I,C)),((H,D),E)),J),(((((F,G),(I,C)),((H,D),E)),J),((((((G,(F,F)),(I,C)),((H,D),E)),J),(((((F,G),(I,C)),((H,D),E)),J),((((F,G),(I,C)),((H,D),E)),J))),(J,(((F,G),((((C,C),C),I),(C,I))),((D,H),E)))))))))),((((B,U),(W,((((V,V),V),V),V))),((U,B),(V,W))),((U,B),(V,W)))),(((((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))),((T,((((R,Q),(P,P)),O),S)),((((P,(R,Q)),O),S),(T,T)))),((U,B),(V,W)))),((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W)))));","(A,(((W,(V,(V,(V,(V,V))))),(B,U)),(((((K,K),L),((M,N),(M,N))),((J,((E,(D,H)),((C,I),(G,F)))),((J,((E,(D,H)),((C,I),(G,F)))),((J,((E,(D,H)),((C,I),(G,(F,F))))),(J,((E,(D,H)),(((C,(C,C)),(I,I)),(G,F)))))))),((T,T),(S,(O,((Q,R),(P,P))))))));",13,0,118
reconcILS,4561,"(A,(((((((C,(C,(C,C))),(F,(I,(G,(G,G))))),(E,(E,E))),((D,D),H)),((J,J),((K,L),(M,(M,N))))),((((O,P),(R,(Q,R))),S),T)),(V,(W,((B,(B,B)),U)))));","(A,(((W,V),(((B,B),B),U)),((((K,L),((M,M),N)),((J,J),(((E,(E,E)),((D,D),H)),(((C,(C,(C,C))),I),((G,(G,G)),F))))),(T,(S,(O,((Q,(R,R)),P)))))));",13,8,0
ete3,4561,"(((((V,W),(U,((B,B),B))),((U,B),(W,V))),((T,(S,(((P,((R,Q),(Q,R))),O),(((R,Q),P),O)))),((((((F,G),(I,C)),((H,D),E)),(J,J)),(((N,M),(N,M)),(L,K))),((J,((((F,G),(I,C)),(E,(H,(D,D)))),(((H,D),((E,E),E)),((((F,((G,G),G)),(C,I)),((G,F),(I,C))),((F,G),(I,(((C,C),C),C))))))),((N,M),(L,K)))))),A);","(A,(((W,V),(((B,B),B),U)),((((K,L),((M,M),N)),((J,J),(((E,(E,E)),((D,D),H)),(((C,(C,(C,C))),I),((G,(G,G)),F))))),(T,(S,(O,((Q,(R,R)),P)))))));",13,0,32
reconcILS,7365,"(A,((((((C,I),((((D,(D,D)),(H,H)),(E,(E,E))),((G,(G,G)),F))),J),((K,L),(M,N))),(((O,((P,P),(R,(R,((Q,(Q,Q)),R))))),(S,(S,S))),T)),(V,(W,(B,U)))));","(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((((E,E),E),(((D,D),D),(H,H))),((C,I),(((G,G),G),F))))),(T,((S,(S,S)),(O,(((Q,(Q,Q)),(R,(R,R))),(P,P))))))));",14,4,0
ete3,7365,"(((((V,W),(U,B)),((U,B),(W,V))),((T,(((S,S),S),(((((R,((Q,Q),Q)),(Q,R)),(Q,R)),(P,P)),O))),(((N,M),(L,K)),(J,((((I,C),(F,((G,G),G))),(((E,E),E),((H,H),((D,D),D)))),(((F,G),(I,C)),((H,D),E))))))),A);","(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((((E,E),E),(((D,D),D),(H,H))),((C,I),(((G,G),G),F))))),(T,((S,(S,S)),(O,(((Q,(Q,Q)),(R,(R,R))),(P,P))))))));",10,0,10
