Repliccate,Gene_trees
374,"((((((((V,V),V),V),V),V),((U,B),W)),((S,((R,Q),((T,P),O))),(L,(K,((((N,N),N),(((M,M),M),M)),(J,(((E,D),H),((F,G),(I,C))))))))),A);"
3803,"((((((B,B),(W,W)),V),U),((S,(T,(((R,Q),P),O))),((I,I),((((F,G),F),G),((((N,M),(((E,E),((H,H),D)),((L,L),(K,K)))),(J,J)),C))))),(A,A));"
4757,"(((((((U,U),U),B),W),V),((T,(S,(((R,Q),P),O))),((((((M,M),N),M),M),((((L,L),L),L),K)),(J,((E,(H,D)),((G,(G,(F,I))),C)))))),A);"
9486,"(((((U,(B,B)),V),W),((T,(S,((R,(Q,Q)),((P,P),O)))),(((N,M),((L,L),K)),((((F,G),I),(D,(E,((H,H),(J,J))))),C)))),A);"
2036,"((((W,V),((U,U),B)),((T,((S,S),((R,Q),(P,O)))),(((N,M),((((L,L),L),L),K)),(J,(((E,H),(((D,D),D),D)),((F,G),(I,C))))))),A);"
2451,"((((((V,V),U),(W,W)),((T,T),(((R,Q),(((S,S),S),(P,P))),O))),(M,(K,(((N,J),J),(((L,L),L),((G,(((((E,D),H),E),H),D)),(F,((M,I),C)))))))),A);"
5138,"((((V,V),((U,B),(W,W))),((T,(S,(((R,(((Q,Q),Q),Q)),P),(O,O)))),(((N,M),(L,K)),(J,((((E,E),H),D),((F,G),(I,(C,C)))))))),A);"
5682,"((((W,V),(U,B)),((T,(S,((Q,(((R,R),P),P)),O))),(((N,M),(L,K)),((J,J),((((E,H),H),D),(F,(G,((I,I),C)))))))),(A,A));"
6175,"(A,(((((U,U),((B,B),B)),(W,W)),V),((T,((S,S),((R,Q),(P,O)))),((L,((N,M),K)),(J,(((F,G),I),((((H,(D,D)),E),D),C)))))));"
6855,"(((((U,B),W),V),(((S,(T,T)),((((Q,Q),Q),(R,P)),(O,O))),(L,(((N,M),K),((E,((G,D),((F,(H,H)),(I,D)))),(J,C)))))),A);"
7321,"(((((U,B),W),V),((T,(((S,S),S),(((R,Q),P),(O,O)))),(((((M,M),N),M),(L,K)),(J,((((E,E),E),((((H,H),H),D),D)),((F,(G,G)),(I,C))))))),A);"
10020,"(((((((U,U),U),B),W),V),((T,(S,((R,Q),(P,O)))),(((N,(((M,M),M),M)),(((L,L),L),K)),(J,((((E,E),E),(H,(D,D))),((F,G),(I,((C,C),C)))))))),A);"
10558,"(((((U,B),W),V),((T,(((((S,S),S),S),S),(P,((((R,R),Q),Q),O)))),(((N,((M,M),M)),((L,L),K)),((E,J),((((H,H),H),D),(F,(G,(I,C)))))))),(A,A));"
6748,"(A,((((((W,V),((((U,U),U),U),B)),((L,K),((((((I,D),H),E),(((((C,G),G),J),C),F)),(N,M)),H))),((S,S),T)),(Q,Q)),((R,R),((P,P),O))));"
7112,"((((U,B),(A,(((S,T),(((R,(Q,Q)),(P,P)),O)),((N,M),(((K,K),(L,((J,J),J))),((((I,I),((E,E),E)),C),(((((((H,F),D),D),G),C),F),C))))))),(V,V)),W);"
11118,"(A,(((((W,W),V),(B,B)),U),((T,(S,((R,Q),((P,P),O)))),((L,((N,M),K)),(((J,J),J),((((F,F),((((G,G),G),G),G)),((((E,E),E),E),((H,H),D))),(I,C)))))));"
2922,"((((V,V),W),(((U,U),U),B)),((((T,T),T),(((R,Q),((P,P),P)),(S,(O,O)))),(J,(((H,(D,D)),(E,E)),(((F,F),F),(G,((L,((N,M),(K,K))),C)))))));"
11015,"((((G,C),(((B,W),V),(U,U))),(F,((T,O),(((R,Q),(((((H,S),D),S),H),E)),(((((((((((((K,P),L),M),J),J),L),M),J),N),J),J),M),K))))),I);"
286,"(((((((V,V),V),V),(W,W)),(U,B)),(((S,S),(T,(P,O))),(F,(((((M,N),N),M),(((L,L),L),K)),((H,D),(((((R,Q),E),((H,D),G)),J),(I,(C,C)))))))),A);"
343,"((((U,B),W),V),((((T,T),T),(S,(((R,((Q,Q),Q)),((P,P),P)),((O,O),O)))),(((N,M),(L,((K,K),K))),(J,((E,(H,D)),(((I,I),I),(F,(G,C))))))));"
1137,"((((((U,B),W),V),((T,((Q,(R,P)),((O,O),O))),((F,G),(((E,E),E),((((D,D),H),H),((((M,M),(N,(L,K))),(((J,J),J),J)),(I,(((C,C),C),C)))))))),A),S);"
59,"((((((((W,W),W),W),W),V),(U,(((B,B),B),B))),((S,(T,((((R,R),Q),(P,P)),O))),(K,((N,M),(L,(J,((E,((H,H),D)),(F,(G,(I,((C,C),C))))))))))),A);"
5126,"((((((V,V),V),W),((U,U),B)),((T,(S,(P,((R,Q),(O,O))))),((((((M,N),M),M),M),((L,L),(K,K))),(J,(((F,F),G),((I,(E,(H,D))),C)))))),A);"
