Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,0,"((L  C,((((L  AA,L  AB)L,(L  G,L  Z)L)L,((((L  Q,L  P)L,(L  S,L  R)L)L,(L  O,((L  J,(L  I,L  M)L)L,((L  L,L  K)L,(L  H,L  N)L)L)L)L)L,(L  Y,(L  X,(L  T,((L  V,L  W)L,L  U)L)L)L)L)L)L,((L  F,(L  D,L  E)L)L,(L  A,(L  B,(AC,AC)D))))),((((((((G,AA)1I  AA,AB)1I  G,Z),((Y,(X,(((W,V),(U,U)D),T))),((((L  S,L  R)L,(L  Q,P)),(L  O,((L  J,(L  I,M)),((L  L,K),(N,H))))),(((L  R,S),(Q,P)),(O,((J,(M,I)),((K,L),(N,H))))))D)),C)1I  A+1I  E-D-F+1I  M-L-I-AB-Q-N-P-O-H-K-AA-G-Z-T-X-V-S-W-Y-U-J,(F,(E,D)))1I  E-D-A-F+1I  D-AA-Z-G-M-F-T-I-L-X-AB-V-Q-S-W-P-N-O-H-Y-U-E-J-K,A)1I  AA-D-M-Z-G-F-A-L-I-T-X-AB-V-Q-S-W-N-P-O-J-Y-U-E-H-K,(L  AC,B)))D;","((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((B,AC),A))),C);",4,8,13
ete3,0,"((((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((AC,B),A))),C),(((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((B,AC),A))),C),(((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((B,AC),A),((D,E),F))),C),(((((E,D),F),((B,AC),A)),((((((((H,N),(L,K)),((I,M),J)),O),((R,S),(P,Q))),((O,(((I,M),J),((L,K),(H,N)))),((R,S),(Q,P)))),(((T,((U,U),(V,W))),X),Y)),(((G,Z),(AB,AA)),(((Z,G),(AA,AB)),((Z,G),(AB,AA)))))),C)))),((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((B,(AC,AC)),A))),C));","((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((B,AC),A))),C);",9,0,132
reconcILS,1,"(((((L  AC,B),A),((F,(E,D)),C)1I  E-D-F)1I  D-F-E-B-A,((((Z,G),AB)1I  AB,AA),((Y,(X,(((W,V),(U,U)D),T))),(((S,((R,R)D,R)D),(Q,(P,P)D)),(((I,M),J),((K,L),(N,(O,H)1I  H)1I  H-N)1I  K-H-L-N))))),(L  C,((((L  AA,L  AB)L,(L  G,L  Z)L)L,((((L  Q,L  P)L,(L  S,L  R)L)L,(L  O,((L  J,(L  I,L  M)L)L,((L  L,L  K)L,(L  H,L  N)L)L)L)L)L,(L  Y,(L  X,(L  T,((L  V,L  W)L,L  U)L)L)L)L)L)L,((L  F,(L  D,L  E)L)L,(L  A,(L  B,AC))))))D;","((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((B,AC),A))),C);",5,6,6
ete3,1,"(((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((B,AC),A))),C),((((((E,D),F),((B,AC),A)),((((((((((N,H),(K,L)),((M,I),J)),O),((((H,N),(K,L)),((M,I),J)),O)),((((N,H),(L,K)),((M,I),J)),O)),((((N,H),(K,L)),(J,(M,I))),O)),(((P,P),Q),((R,(R,R)),S))),(((T,((U,U),(V,W))),X),Y)),(((Z,G),(AB,AA)),((AA,AB),(G,Z))))),C),(((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((B,AC),A),((D,E),F))),C),((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((AC,B),A))),C))));","((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((B,AC),A))),C);",11,0,115
reconcILS,2,"(L  C,((((((AB,AB)D,AA),((Z,Z)D,G)),((Y,(X,(((W,V),(U,U)D),T))),((((S,R),Q)1I  Q,P),(O,((J,(M,I)),((K,L),(N,H))))))),((B,B)D,((L  F,(E,D)),(((L  Y,(L  X,(L  T,((L  V,L  W)L,L  U)L)L)L)L,(((L  Q,L  P)L,(L  S,L  R)L)L,(L  O,(J,((L  I,M),((L  L,L  K)L,(L  N,H)))1I  M)))),((L  AA,L  AB)L,(L  Z,G))))1I  B+1I  E-D)D+1I  J-H-M-G)1I  E-D-B,((AC,AC)D,A)1I  AC));","((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((B,AC),A))),C);",6,7,10
ete3,2,"((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((B,(AC,AC)),A))),(((((F,(D,E)),((B,AC),A)),((((((U,(W,V)),T),X),Y),((O,((((N,H),(K,L)),((I,M),J)),(((N,H),(K,L)),((M,I),J)))),((R,S),(P,Q)))),((Z,G),(AB,AA)))),(((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((AC,(B,B)),A)))),((((E,D),F),((B,AC),A)),(((((((H,N),(L,K)),((I,M),J)),O),(((R,S),(Q,P)),((P,Q),(R,S)))),(((T,((U,U),(V,W))),X),Y)),((G,(Z,Z)),(AA,(AB,AB)))))));","((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((B,AC),A))),C);",10,0,92
reconcILS,3,"((A,(L  AC,B)),((((((G,AA)1I  AA,AB)1I  G,Z),((Y,(X,(((W,V),(U,U)D),T))),(((S,R),(Q,P)),(O,(((K,L),(J,(M,I)))1I  L-K,(N,H)))))),C)1I  E-D-F+1I  M-I-L-R-AB-Q-N-P-O-H-K-AA-G-Z-T-X-V-S-W-Y-U-J,(F,(E,D)))1I  D-AA-Z-G-M-F-T-L-I-R-X-AB-V-Q-S-W-P-N-O-H-Y-U-E-J-K);","((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((B,AC),A))),C);",1,6,1
ete3,3,"((((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((B,AC),A),((D,E),F))),C),(((((E,D),F),((B,AC),A)),((((((((K,L),(H,N)),((M,I),J)),(((N,H),(L,K)),((I,M),J))),O),((P,Q),(R,S))),(((T,((U,U),(V,W))),X),Y)),(((G,Z),(AB,AA)),(((Z,G),(AA,AB)),((Z,G),(AB,AA)))))),C)),((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((AC,B),A))),C));","((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((B,AC),A))),C);",6,0,74
reconcILS,4,"((AC,((F,(E,D)),C)1I  AC+1I  E-D-F)1I  E-D-F-AC,(((((Z,G),AA)1I  AA,AB),(((X,Y)1I  X,(((W,V),U),T)),((Q,((S,R),P)1I  P),((L  O,(((L  L,L  K)L,(L  H,L  N)L)L,(L  J,(L  I,M)))),((I,((J,O)D+1I  I+1I  J+1I  J,(L  M,(((K,L),N)1I  N,H)))1I  I-J+1I  N-J-L-H-K)1I  I-L-N-J-H-K,I))D))),(B,(A,A)D)1I  B)1I  B-A);","((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((B,AC),A))),C);",3,15,5
ete3,4,"((C,((((E,D),F),((AC,B),(A,A))),(((((((((N,H),(K,L)),((M,I),J)),O),((((((M,I),J),(((N,H),(K,L)),((H,N),(L,K)))),O),((((N,H),(K,L)),((M,I),J)),O)),((((N,H),(K,L)),((M,I),J)),O))),((((N,H),(K,L)),((I,M),J)),O)),(((Q,P),(R,S)),((R,S),(P,Q)))),(((X,(T,(U,(V,W)))),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AA,AB)),((AB,AA),(G,Z)))))),(((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((B,AC),A),((D,E),F))),C),((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((B,AC),A))),C)));","((((((((U,(W,V)),T),X),Y),(((((N,H),(K,L)),((M,I),J)),O),((R,S),(P,Q)))),((Z,G),(AB,AA))),(((E,D),F),((B,AC),A))),C);",11,0,107
