Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,8188,"(((((((((Z,G),AA),AB),((Y,(X,(((((W,W),W),(V,V)),(U,((U,U),U))),T))),((Q,((S,R),P)),(O,((K,L),((J,((M,I),I)),(N,H))))))),C),((F,(E,D)),A)),B),AC),AC);","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(,M)),((H,N),(L,K))))),(Y,(X,(T,((,),)))))))))));",7,6,0
ete3,8188,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(AC,(B,((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A),((((E,D),F),(C,((((((((K,L),(H,N)),(((M,I),(I,M)),J)),(((N,H),(L,K)),((M,I),J))),O),(((Q,P),(R,S)),((S,R),(P,Q)))),(((T,(((U,(U,U)),U),((V,V),(W,(W,W))))),X),Y)),(((Z,G),(AA,AB)),((AB,AA),(G,Z)))))),A)))));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(,M)),((H,N),(L,K))))),(Y,(X,(T,((,),)))))))))));",9,0,66
reconcILS,8779,"(((((((((((Z,G),AB),AA),(((X,Y),(((W,V),U),(T,T))),((((S,S),R),(Q,(P,P))),(O,((J,(M,I)),(N,(K,(L,(H,H))))))))),C),(F,(E,D))),A),B),AC),AC),AC);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",5,5,1
ete3,8779,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(AC,(B,(A,(((D,E),F),(C,(((((((((K,L),(N,(H,H))),((L,K),(N,H))),((K,L),(H,N))),((I,M),J)),O),(((P,P),Q),(R,(S,S)))),(((X,((T,T),(U,(V,W)))),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AB,AA)),((AA,AB),(G,Z)))))))))));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",9,0,60
reconcILS,9106,"((AC,AC),(((((AB,AA),(Z,G)),((Y,(X,(U,((W,((((((((((V,V),V),V),V),V),V),V),V),V),V)),T)))),(((S,R),(Q,P)),(O,((N,((M,M),(J,I))),((K,L),H)))))),(B,((F,F),(E,D)))),C));","(,(B,(A,((,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,)),((H,N),(L,K))))),(Y,(X,(T,((,W),U)))))))))));",13,7,1
ete3,9106,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),(F,F))),A),B),((((C,((((((((M,I),J),((N,H),(L,K))),(((K,L),(H,N)),(((M,I),J),((I,(M,M)),J)))),O),((P,Q),(R,S))),(((((U,((V,(V,(V,(V,(V,(V,(V,(V,(V,(V,V)))))))))),W)),T),(((W,V),U),T)),X),Y)),((G,Z),(AA,AB)))),((E,D),F)),A),B))),(AC,AC));","(,(B,(A,((,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,)),((H,N),(L,K))))),(Y,(X,(T,((,W),U)))))))))));",8,0,70
reconcILS,2831,"((AC,AC),((((((((Z,(((((((((G,G),G),G),G),G),G),G),G),G)),AB),AA),((Y,(X,(((W,V),U),T))),(((S,R),(Q,P)),(O,((J,(M,I)),((K,L),(N,H))))))),C),(F,(E,D))),A),B));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",10,1,0
ete3,2831,"((B,(A,(((D,E),F),(C,(((((((H,N),(L,K)),((I,M),J)),O),((P,Q),(R,S))),(((T,(U,(V,W))),X),Y)),(((Z,G),(AB,AA)),((AA,AB),((G,(G,(G,(G,(G,(G,(G,(G,(G,G))))))))),Z)))))))),(AC,AC));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",3,0,3
reconcILS,6093,"(((((((((Z,AA),AB),G),((Y,(X,((W,V),((U,U),T)))),(((S,R),(Q,P)),(O,((J,((I,(M,M)),I)),(((K,K),L),(N,H))))))),(F,(E,D))),(B,A)),C),AC),AC);","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(,)),((H,N),(L,))))),(Y,(X,(T,((V,W),)))))))))));",4,9,0
ete3,6093,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(AC,(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((A,((C,(((((((H,N),(L,(K,K))),(((M,I),((M,M),I)),J)),O),((P,Q),(R,S))),((((((W,V),(U,U)),T),((U,(V,W)),T)),X),Y)),(((Z,G),(AA,AB)),(((Z,G),(AA,AB)),((G,Z),(AB,AA)))))),((D,E),F))),B)))));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(,)),((H,N),(L,))))),(Y,(X,(T,((V,W),)))))))))));",8,0,79
