Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,4433,"((AC,(((((AA,AA),((Z,(G,G)),AB)),((Y,(X,(((V,W),V),((U,U),((T,T),T))))),((((R,S),R),Q),(O,(((L,L),((K,N),P)),((((J,J),(M,M)),I),H)))))),((F,(E,D)),(B,A))),(C,C))),AC);","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",13,15,9
ete3,4433,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),(C,C)),((E,D),F)),A),B),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A),B)),((((C,(((((((O,(((K,L),(N,H)),(((M,I),J),((I,(M,M)),(J,J))))),((S,R),(Q,P))),((((((M,I),J),((L,K),(H,N))),O),((S,R),(Q,P))),(((((K,(L,L)),(N,H)),((M,I),J)),O),((S,R),(Q,P))))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),(((((K,L),(N,H)),((M,I),J)),O),((P,Q),((S,R),(S,R))))),((((((W,V),(U,U)),(T,(T,T))),((U,((W,V),(W,V))),T)),X),Y)),(((AA,AB),((G,G),Z)),((Z,G),(AB,(AA,AA)))))),((E,D),F)),A),B))),AC));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",16,0,179
reconcILS,6526,"((AC,(((((Z,AB),AA),G),((Y,(X,(((W,V),(U,U)),T))),(((S,R),(Q,P)),(O,((M,((J,J),I)),((K,L),(N,(H,H)))))))),(((F,F),(E,(D,D))),(((B,B),B),(A,A))))),AC);","(,(,(,((,(,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((,(I,M)),((,N),(L,K))))),(Y,(X,(T,((V,W),)))))))))));",8,7,1
ete3,6526,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),(A,A)),(B,(B,B))),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(((D,D),E),(F,F))),A),B)),((((C,((((((((H,H),N),(L,K)),(((M,I),(J,J)),((I,M),J))),O),((P,Q),(R,S))),(((T,((U,U),(V,W))),X),Y)),(((Z,G),(AA,AB)),(((Z,G),(AB,AA)),((G,Z),(AA,AB)))))),((E,D),F)),A),B)),AC));","(,(,(,((,(,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((,(I,M)),((,N),(L,K))))),(Y,(X,(T,((V,W),)))))))))));",11,0,88
reconcILS,7891,"((((F,(E,((((((D,D),D),D),D),D),D))),(((B,(B,(B,B))),(AC,(AC,(AC,AC)))),A)),C),(((G,AB),AA),(((X,Y),(((W,V),U),T)),(((S,R),(Q,P)),(O,((J,(M,I)),(N,(L,(K,H)))))))));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",10,10,6
ete3,7891,"((((((C,(((((((((L,K),(N,H)),((K,L),(N,H))),((K,L),(H,N))),((I,M),J)),O),((P,Q),(R,S))),(((X,(T,(U,(V,W)))),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AB,AA)),((Z,G),(AA,AB))))),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),(((B,B),B),B)),(((AC,AC),AC),AC))),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(((D,(D,(D,(D,(D,(D,D)))))),E),F)),A),B),AC))));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",10,0,131
reconcILS,5472,"((AC,((((((Z,(G,AB)),AA),((Y,(X,(((W,V),((U,U),U)),T))),(((S,R),(Q,(P,P))),(O,((J,(M,I)),(((K,K),L),((N,N),H))))))),C),((F,F),((E,E),((D,D),D)))),(B,A))),AC);","(,(B,(A,((,(,)),(C,(((AB,AA),(G,Z)),((((,Q),(R,S)),(O,((J,(I,M)),((H,),(L,))))),(Y,(X,(T,((V,W),)))))))))));",9,4,0
ete3,5472,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((A,((((D,(D,D)),(E,E)),(F,F)),(C,(((((((H,(N,N)),(L,(K,K))),((I,M),J)),O),(((P,P),Q),(R,S))),(((T,((U,(U,U)),(V,W))),X),Y)),(((Z,G),(AB,AA)),(((Z,G),(AA,AB)),((G,Z),(AA,AB)))))))),B)),AC));","(,(B,(A,((,(,)),(C,(((AB,AA),(G,Z)),((((,Q),(R,S)),(O,((J,(I,M)),((H,),(L,))))),(Y,(X,(T,((V,W),)))))))))));",10,0,62
