Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,293,"(A,((((H,(F,(E,(I,(D,(G,C)))))),(M,(L,(K,N)))),((O,(P,(R,(Q,S)))),T)),(V,((W,B),U))));","(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,(((E,(D,H)),((C,I),(G,F))),((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))));",1,12,5
ete3,293,"((((((B,U),(V,W)),((U,B),(V,W))),((U,B),(W,V))),((T,((((((P,(R,Q)),O),S),(((P,(Q,R)),O),S)),((((R,Q),P),O),S)),(((P,(R,Q)),O),S))),((J,(((((((H,D),E),((F,G),(I,C))),(((F,G),(C,I)),((H,D),E))),(((F,G),(I,C)),((H,D),E))),(((G,F),(I,C)),((H,D),E))),(((F,G),(I,C)),((D,H),E)))),((((M,N),(L,K)),((N,M),(K,L))),((N,M),(L,K)))))),A);","(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,(((E,(D,H)),((C,I),(G,F))),((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))));",4,0,58
reconcILS,1094,"(A,(((((S,(H,(F,(R,(I,(Q,(C,P))))))),(((K,T),D),E)),(J,(M,(O,N)))),L),((W,U),(B,V))));","(A,((((W,V),(B,U)),((W,V),(B,U))),(((((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))));",4,12,26
ete3,1094,"(((((U,B),(W,V)),((B,U),(V,W))),((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(K,L)))),((((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((M,N),(L,K)))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))))),((((((((((((R,Q),P),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),(((((P,(R,Q)),O),S),T),(((((F,G),(C,I)),((H,D),E)),J),((N,M),(L,K))))),(((((P,(Q,R)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),(((((P,(R,Q)),O),S),T),(((((G,F),(I,C)),((H,D),E)),J),((N,M),(L,K))))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((D,H),E)),J),((N,M),(L,K))))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))))))),A);","(A,((((W,V),(B,U)),((W,V),(B,U))),(((((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))));",2,0,196
reconcILS,141,"(A,((((J,(L,(C,E))),(I,(G,F))),(M,N)),(D,(H,((Q,(S,(R,(O,P)))),(U,(W,(V,B))))))));","(A,(((W,V),(B,U)),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))));",1,16,8
ete3,141,"(((((((T,((((((R,Q),P),O),((P,(Q,R)),O)),S),(((P,(R,Q)),O),S))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((((U,B),(W,V)),((U,B),(V,W))),((B,U),(V,W)))),((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((D,H),E)),J),((N,M),(L,K)))),((U,B),(V,W)))),((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W)))),((((((P,(R,Q)),O),S),T),((((((F,G),(I,C)),((H,D),E)),J),((L,K),(N,M))),((((((H,D),E),((C,I),(F,G))),J),((N,M),(L,K))),(((J,(((F,G),(I,C)),((H,D),E))),((N,M),(K,L))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))))),((U,B),(V,W)))),A);","(A,(((W,V),(B,U)),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))));",5,0,130
reconcILS,966,"(((((I,(C,(K,(G,(N,(F,(D,(M,(E,(H,L)))))))))),J),((((O,P),Q),R),S)),(U,(W,(V,B)))),A);","(A,(((W,V),(B,U)),((((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))));",2,18,10
ete3,966,"(A,(((((U,B),(W,V)),((U,B),(V,W))),((B,U),(V,W))),((T,(S,(((P,(Q,R)),O),(((P,(R,Q)),O),(((R,Q),P),O))))),((((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))),((((((((((((((F,G),(I,C)),((D,H),E)),J),((N,M),(K,L))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((G,F),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((M,N),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(C,I)),((H,D),E)),J),((N,M),(L,K))))))));","(A,(((W,V),(B,U)),((((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))));",3,0,152
reconcILS,1700,"(A,((((((C,J),(I,(E,(G,(H,(D,F)))))),(((P,(S,O)),Q),T)),(M,(L,N))),K),(V,(U,(B,W)))));","(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,(((E,(D,H)),((C,I),(G,F))),((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))));",1,15,5
ete3,1700,"((((((U,B),(V,W)),((B,U),(V,W))),((U,B),(W,V))),((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),(((M,N),(K,L)),((N,M),(L,K))))),((((N,M),(L,K)),((J,(((((((G,F),(I,C)),((H,D),E)),(((F,G),(I,C)),((D,H),E))),(((F,G),(I,C)),((H,D),E))),(((F,G),(I,C)),((H,D),E))),(((F,G),(C,I)),((H,D),E)))),((((F,G),(I,C)),((H,D),E)),J))),(T,((((P,(R,Q)),O),S),((((P,(R,Q)),O),S),((((R,Q),P),O),S)))))))),A);","(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,(((E,(D,H)),((C,I),(G,F))),((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))));",6,0,92
reconcILS,1232,"(A,(((((J,(G,(F,(C,(D,(E,(H,I))))))),(M,(K,L))),(((Q,R),(P,O)),T)),S),(U,(W,(B,V)))));","(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,(((E,(D,H)),((C,I),(G,F))),((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))));",1,10,5
ete3,1232,"((((((U,B),(W,V)),((U,B),(V,W))),((B,U),(V,W))),((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((S,((((R,Q),P),O),((P,(R,Q)),O))),T),(((N,M),(L,K)),(((((((((F,G),(C,I)),((D,H),E)),(((F,G),(I,C)),((H,D),E))),(((F,G),(I,C)),((H,D),E))),(((F,G),(I,C)),((H,D),E))),(((G,F),(I,C)),((H,D),E))),(((F,G),(I,C)),((H,D),E))),J))))),A);","(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,(((E,(D,H)),((C,I),(G,F))),((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))));",4,0,64
reconcILS,462,"((T,(S,((P,(Q,(R,O))),(((K,(L,((H,(J,(D,(E,(I,C))))),(M,N)))),(G,F)),(U,(V,W)))))),A);","(A,(((W,V),(B,U)),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))));",1,14,6
ete3,462,"(A,(((((((((P,(R,Q)),O),S),T),((((((I,C),(F,G)),((H,D),E)),J),((N,M),(L,K))),(((((L,K),(N,M)),((((((F,G),(C,I)),((H,D),E)),(((F,G),(I,C)),((H,D),E))),J),((((F,G),(I,C)),((D,H),E)),J))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(K,L)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))))),((B,U),(W,V))),((((S,((((P,(Q,R)),O),((P,(R,Q)),O)),(((R,Q),P),O))),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W)))),((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W)))),((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W)))));","(A,(((W,V),(B,U)),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))));",5,0,136
reconcILS,1816,"(T,(((I,(J,(D,(G,(E,(C,H)))))),((M,N),(K,L))),((O,(R,(Q,(P,S)))),((V,((W,B),U)),A))));","(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,(((E,(D,H)),((C,I),(G,F))),((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))));",1,17,5
ete3,1816,"((((((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((((B,U),(V,W)),((U,B),(V,W))),((U,B),(W,V)))),A),((((T,(((((((R,Q),P),O),S),(((P,(R,Q)),O),S)),(((P,(Q,R)),O),S)),(((P,(R,Q)),O),S))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A)),(((((((P,(R,Q)),O),S),T),(((L,K),(N,M)),((((((((F,G),(I,C)),((D,H),E)),(((F,G),(I,C)),((H,D),E))),(((F,G),(I,C)),((H,D),E))),(((F,G),(I,C)),((H,D),E))),J),((((F,G),(C,I)),((H,D),E)),J)))),((U,B),(V,W))),A)),(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A));","(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,(((E,(D,H)),((C,I),(G,F))),((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))));",7,0,114
reconcILS,1419,"(T,((Q,(S,((((E,(I,(D,(H,(J,(C,(L,(M,N)))))))),(G,F)),A),(B,(U,(V,W)))))),((O,P),R)));","((A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))),(A,(((W,V),(B,U)),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),(((((K,L),(M,N)),((J,(((E,(D,H)),((C,I),(G,F))),((E,(D,H)),((C,I),(G,F))))),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))))));",5,19,26
