Repliccate,Gene_trees
635,"(((((((B,V),U),W),((E,D),(((N,M),(L,K)),(((H,F),I),J)))),S),(T,(((Q,P),R),O))),A);"
994,"(A,(((((W,V),U),B),(I,((H,((G,(L,((N,M),K))),(((E,J),F),D))),C))),(T,(((R,Q),(S,P)),O))));"
1342,"(A,((((W,V),U),B),((T,(S,(((R,Q),P),O))),(N,(((L,K),J),(((E,H),D),(G,((F,C),I))))))));"
1492,"((((W,V),B),((S,((R,P),O)),(T,(((N,I),M),((G,K),(L,((F,J),(((E,D),H),C)))))))),A);"
568,"((((B,W),V),((S,(((R,Q),P),O)),(T,(((G,((F,I),((H,E),D))),((M,(N,(L,K))),J)),C)))),A);"
1379,"(((((((((B,V),(U,J)),I),N),((((G,F),E),H),D)),C),((S,T),((L,R),(K,(W,(P,O)))))),Q),A);"
1038,"(A,((((U,B),W),V),((S,((R,Q),(P,O))),(E,(F,(((N,K),((L,G),J)),(((D,C),I),H)))))));"
995,"((((((B,W),V),U),(R,((Q,P),((S,T),O)))),(L,(I,(M,((((((((N,J),E),G),F),C),H),K),D))))),A);"
1384,"((A,V),((((S,((Q,P),R)),(O,(T,(((N,L),K),(((F,I),((E,D),H)),(J,C)))))),(U,B)),W));"
1642,"((((((((B,(U,W)),V),O),((P,R),Q)),T),S),((D,((((L,N),M),K),J)),(((((G,F),C),H),I),E))),A);"
18,"(((((U,V),W),B),(O,((S,(E,(D,J))),((L,H),((I,(((R,Q),T),((M,N),K))),((G,P),C)))))),F);"
1176,"(((((U,B),W),V),((S,((T,P),(R,O))),(N,((M,(L,K)),(F,(((J,C),G),((D,H),E))))))),A);"
565,"((((W,V),U),B),(((D,(Q,(R,((S,T),(P,O))))),(((N,M),(F,G)),(((E,J),L),H))),(I,(K,C))));"
132,"(((((((W,V),U),I),(F,((((E,D),H),(L,((N,M),K))),C))),J),G),(T,(Q,(R,((S,P),O)))));"
1154,"(((((U,B),W),V),((((S,Q),T),O),((((L,(N,M)),K),J),(((F,I),(G,(E,(H,D)))),C)))),A);"
500,"(A,(((B,V),W),((T,(S,(((R,Q),P),O))),(((N,M),(L,K)),(J,(E,((((H,(I,C)),G),D),F)))))));"
1243,"((((W,V),B),U),(((O,(R,(T,P))),(S,Q)),(D,(F,(I,(H,(E,(G,(J,((L,((N,M),K)),C))))))))));"
1307,"(A,(((W,V),B),(S,((((R,Q),O),P),(T,(((N,M),L),(J,(((I,F),G),(((E,D),H),C)))))))));"
1450,"(((((((((((((U,B),W),(N,M)),K),(J,(((F,G),I),(((D,E),H),C)))),L),S),O),P),Q),R),T),A);"
578,"(A,(((B,V),(U,W)),(((S,T),(((R,Q),P),O)),(J,((((G,I),H),D),(F,((N,(L,(M,K))),C)))))));"
1774,"((((W,V),(U,B)),(S,((T,(((R,Q),P),O)),(L,(((G,K),(((((J,F),I),D),H),E)),((N,M),C)))))),A);"
1090,"(A,((((U,V),B),(T,(((((Q,S),R),P),O),(L,((E,J),((((N,M),(H,D)),K),(((C,F),I),G))))))),W));"
324,"((((W,V),(U,B)),(K,(P,((T,((S,(R,Q)),O)),(((N,M),L),(((H,G),E),((I,J),(F,C)))))))),A);"
530,"((R,((S,T),((Q,P),O))),((((I,((F,G),((H,D),E))),K),(J,((N,M),(L,C)))),(((B,V),W),U)));"
1067,"((((U,B),W),V),(((S,T),(((P,R),Q),O)),((((N,M),L),K),((E,(H,D)),(J,(F,((I,C),G)))))));"
1738,"(((((((((W,V),B),U),L),((((J,(N,M)),T),K),(G,(((F,H),D),(I,C))))),(R,Q)),(P,O)),S),A);"
1210,"(((((B,V),U),W),((T,(S,(((Q,P),R),O))),((N,M),((K,((((F,G),((D,E),H)),(I,C)),J)),L)))),A);"
703,"((((U,V),(B,W)),((S,(T,(((P,R),Q),O))),((((N,M),L),K),(E,(J,((((C,G),F),H),D)))))),A);"
26,"((((U,B),V),W),((T,(S,(R,(Q,(P,O))))),((((L,N),K),M),((((E,H),D),J),(G,(F,C))))));"
278,"((((U,V),B),((((S,T),(P,(Q,(R,O)))),(D,((E,H),((L,((M,N),K)),((((J,F),C),G),I))))),W)),A);"
631,"(((((U,B),V),W),(T,(O,((S,(R,(Q,P))),(G,((((((I,D),F),H),E),((N,M),(L,K))),(J,C))))))),A);"
1496,"(A,((((U,B),W),V),(O,(((P,R),Q),((S,T),(J,((L,((N,M),K)),(G,(((((E,D),C),I),F),H)))))))));"
511,"((((U,W),V),B),((((N,M),L),K),((((S,T),((O,P),(R,Q))),J),((F,G),(E,(H,(D,C)))))));"
1728,"((((U,B),W),V),((T,(S,(R,(Q,(P,O))))),((N,M),(L,(K,((G,J),(F,(((E,H),D),(I,C)))))))));"
45,"((((W,V),((T,(S,(((P,Q),R),O))),(((((K,M),L),N),(J,(F,(I,(((D,H),E),(G,C)))))),B))),U),A);"
920,"((((U,B),V),(E,(((H,D),J),(G,((I,(F,(((N,M),(T,(R,((Q,(S,P)),O)))),(L,K)))),C))))),A);"
1612,"((((U,B),W),V),(A,(T,(((R,Q),S),((P,((D,(E,(((N,M),L),(I,K)))),((((G,F),C),H),J))),O)))));"
365,"(A,(((((U,V),B),W),(((I,(((H,E),D),((N,M),(L,K)))),((F,G),J)),C)),(S,(((R,Q),P),O))));"
1194,"(((((U,V),W),B),(S,(((R,P),O),(T,(((((N,M),L),K),J),(G,(((((H,E),D),F),I),C))))))),A);"
731,"((((((B,W),V),U),(K,(L,((N,M),(G,(((((D,E),F),H),I),J)))))),((S,T),(((R,Q),P),O))),A);"
1046,"(((((U,B),W),V),(S,(((R,Q),P),(T,((I,(O,K)),(L,(M,(J,(((((H,F),G),C),D),E))))))))),A);"
1165,"(A,((((B,V),W),U),((S,((R,Q),O)),(((N,M),K),((L,I),(J,(E,((((D,H),F),C),G))))))));"
600,"(T,((((U,B),W),V),((S,(((Q,R),P),O)),(((N,M),(L,K)),(((((((J,G),H),D),I),F),E),C)))));"
819,"(A,((((B,W),V),U),((T,(P,(((S,R),Q),O))),((((L,D),N),M),((H,(E,J)),(((K,C),I),F))))));"
1368,"((Q,((((A,(((V,U),B),W)),((N,M),((((((E,H),D),G),J),F),((L,K),(I,C))))),T),(S,(P,O)))),R);"
584,"(A,((((B,W),V),((((N,M),L),K),(J,(((F,G),((H,E),D)),(I,C))))),(S,(T,(P,((Q,O),R))))));"
1515,"(((((W,V),U),B),((P,(((S,R),(Q,T)),O)),((K,J),((I,((E,H),D)),(((((F,M),N),C),G),L))))),A);"
1646,"(((((U,B),W),V),((T,(S,(Q,(P,(R,O))))),(J,((L,(M,(N,K))),((((((H,E),D),G),F),I),C))))),A);"
1793,"((((U,(B,W)),V),((S,(T,(P,((O,Q),R)))),(((N,M),(L,K)),(G,((((((I,E),D),J),F),C),H))))),A);"
1060,"(A,((((U,B),V),W),(R,((Q,P),(O,((S,T),(G,((F,H),(((I,(L,((K,N),M))),J),((E,C),D))))))))));"
1323,"(A,((((U,V),W),(T,(S,((R,(Q,P)),O)))),((L,(M,K)),(((I,G),F),(H,((E,D),(J,C)))))));"
35,"((((W,V),(U,B)),((S,((R,Q),(P,O))),(((N,L),K),(((E,(H,D)),J),(((F,G),C),I))))),A);"
849,"(((((((U,V),(B,W)),P),((((N,M),L),K),(S,((G,I),((((H,E),D),J),C))))),O),(R,Q)),A);"
1002,"((((W,V),B),U),((P,(S,((R,Q),O))),(((N,M),L),(J,(((G,E),(F,(I,(T,K)))),((H,D),C))))));"
371,"(((((U,B),V),W),((S,(((Q,R),P),O)),(((N,M),(L,K)),(I,(((G,(F,(E,(H,D)))),J),C))))),A);"
727,"(A,(((B,W),V),((T,(R,(Q,O))),(P,(S,((L,((N,M),J)),(K,((I,(F,((E,D),H))),C))))))));"
777,"(A,(((U,B),W),(((S,T),(((R,Q),P),O)),(((N,M),(L,K)),(G,((((((J,I),E),H),D),F),C))))));"
1366,"((U,((T,(O,(P,((M,R),(S,(Q,(J,((N,(L,K)),((H,D),((G,(F,I)),(E,C))))))))))),B)),A);"
350,"(A,(((W,V),(U,B)),((((R,Q),P),O),(S,(((L,K),(N,M)),((F,G),((I,J),(((E,D),H),C))))))));"
641,"((((U,(B,W)),V),(R,(S,(P,(Q,(T,O)))))),((L,((N,M),K)),(G,((((H,I),F),J),(D,(E,C))))));"
1147,"((((U,(B,W)),V),(((S,T),(((O,R),P),Q)),((((N,M),L),K),((I,((F,G),J)),((H,(E,D)),C))))),A);"
1661,"((((((((((W,V),B),(F,L)),S),(T,O)),Q),R),P),((U,J),(((G,I),(H,((N,M),((D,E),K)))),C))),A);"
364,"(A,(((U,B),V),((T,(S,((R,Q),(P,O)))),((N,M),((L,K),(I,(((((H,J),D),(F,G)),C),E)))))));"
1358,"(((((U,B),W),V),(S,(O,(((R,Q),T),(P,((((N,K),L),M),(((((((H,C),D),I),F),J),G),E))))))),A);"
