Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,1773,"(((C,(I,(N,(U,(W,((((R,(O,(P,Q))),T),A),(M,((K,(E,(H,(L,D)))),F)))))))),(B,J)),(S,V));","((((A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))),(A,((((W,V),(B,U)),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))),(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))))),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))))),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))));",5,15,37
ete3,1773,"((A,((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(W,V)))),((A,((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W)))),(((((((((((((P,(R,Q)),O),S),T),(((((((G,F),(I,C)),((H,D),E)),J),((N,M),(L,K))),((((((((F,G),(I,C)),((H,D),E)),J),((N,M),(K,L))),(((((F,G),(I,C)),((D,H),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),((U,B),(V,W))),A),((((((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))),((S,((((R,Q),P),O),((P,(Q,R)),O))),T)),((U,B),(V,W))),A)),(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A)),(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((B,U),(V,W))),A)),(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((M,N),(L,K)))),((U,B),(V,W))),A)),(((((((P,(R,Q)),O),S),T),(((((F,G),(C,I)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A)),(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A))));","((((A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))),(A,((((W,V),(B,U)),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))),(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))))),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))))),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))));",10,0,238
reconcILS,1455,"(A,((N,(H,(K,(I,(L,(G,(M,(F,(E,(J,(D,C))))))))))),(((O,(Q,(P,(T,R)))),S),(W,(B,U)))));","(A,(((W,V),(B,U)),((((((K,L),(M,N)),((J,((E,(D,H)),((C,I),(G,F)))),((J,((E,(D,H)),((C,I),(G,F)))),((J,((E,(D,H)),((C,I),(G,F)))),(J,((E,(D,H)),((C,I),(G,F)))))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),((T,(S,(O,((Q,R),P)))),(T,(S,(O,((Q,R),P))))))));",3,12,28
ete3,1455,"(((((((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))),(((((P,(R,Q)),O),S),T),(((((((P,(Q,R)),O),S),T),(((((R,Q),P),O),S),T)),((((P,(R,Q)),O),S),T)),((((P,(R,Q)),O),S),T)))),((V,W),(U,B))),((((((P,(R,Q)),O),S),T),(((((((((N,M),(L,K)),((((((F,G),(I,C)),((H,D),E)),J),((((F,G),(I,C)),((H,D),E)),J)),((((G,F),(I,C)),((H,D),E)),J))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(K,L)))),(((((F,G),(C,I)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((D,H),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((M,N),(L,K))))),((U,B),(V,W)))),A);","(A,(((W,V),(B,U)),((((((K,L),(M,N)),((J,((E,(D,H)),((C,I),(G,F)))),((J,((E,(D,H)),((C,I),(G,F)))),((J,((E,(D,H)),((C,I),(G,F)))),(J,((E,(D,H)),((C,I),(G,F)))))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),((T,(S,(O,((Q,R),P)))),(T,(S,(O,((Q,R),P))))))));",4,0,141
