Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,0,"(D,(C,(B,A)));","(D,(C,(A,B)));",0,0,0
ete3,0,"(((A,B),C),D);","(D,(C,(A,B)));",0,0,0
reconcILS,1,"((B,C),(A,D));","(D,(C,(A,B)));",0,2,0
ete3,1,"((((B,A),C),D),(D,((A,B),C)));","(D,(C,(A,B)));",1,0,4
reconcILS,2,"((B,D),(C,A));","(D,(C,(A,B)));",0,2,0
ete3,2,"((D,((B,A),C)),(((A,B),C),D));","(D,(C,(A,B)));",1,0,4
reconcILS,3,"(((C,A),B),D);","(D,(C,(A,B)));",0,1,0
ete3,3,"(D,(((A,B),C),((B,A),C)));","(D,(C,(A,B)));",1,0,3
reconcILS,4,"(D,(C,(A,B)));","(D,(C,(A,B)));",0,0,0
ete3,4,"(((B,A),C),D);","(D,(C,(A,B)));",0,0,0
reconcILS,5,"(((B,A),C),D);","(D,(C,(A,B)));",0,0,0
ete3,5,"(D,(C,(A,B)));","(D,(C,(A,B)));",0,0,0
reconcILS,6,"((A,(B,C)),D);","(D,(C,(A,B)));",0,1,0
ete3,6,"(D,(((A,B),C),((B,A),C)));","(D,(C,(A,B)));",1,0,3
reconcILS,7,"(C,(((B,A),A),D));","(D,(C,(,B)));",1,2,0
ete3,7,"(((C,((B,A),(A,B))),D),(((B,A),C),D));","(D,(C,(,B)));",2,0,4
reconcILS,8,"(((A,B),C),D);","(D,(C,(A,B)));",0,0,0
ete3,8,"(D,(C,(B,A)));","(D,(C,(A,B)));",0,0,0
reconcILS,9,"(D,((C,B),A));","(D,(C,(A,B)));",0,1,0
ete3,9,"((((B,A),C),((A,B),C)),D);","(D,(C,(A,B)));",1,0,3
reconcILS,10,"(D,(C,(B,A)));","(D,(C,(A,B)));",0,0,0
ete3,10,"(((A,B),C),D);","(D,(C,(A,B)));",0,0,0
reconcILS,11,"((C,(B,A)),D);","(D,(C,(A,B)));",0,0,0
ete3,11,"(D,((A,B),C));","(D,(C,(A,B)));",0,0,0
reconcILS,12,"(D,(C,(A,B)));","(D,(C,(A,B)));",0,0,0
ete3,12,"(((B,A),C),D);","(D,(C,(A,B)));",0,0,0
reconcILS,13,"(((B,A),C),D);","(D,(C,(A,B)));",0,0,0
ete3,13,"(D,(C,(A,B)));","(D,(C,(A,B)));",0,0,0
reconcILS,14,"(((B,A),C),D);","(D,(C,(A,B)));",0,0,0
ete3,14,"(D,(C,(A,B)));","(D,(C,(A,B)));",0,0,0
reconcILS,15,"((C,(A,B)),D);","(D,(C,(A,B)));",0,0,0
ete3,15,"(D,((B,A),C));","(D,(C,(A,B)));",0,0,0
reconcILS,16,"(D,(C,(A,B)));","(D,(C,(A,B)));",0,0,0
ete3,16,"(((B,A),C),D);","(D,(C,(A,B)));",0,0,0
reconcILS,17,"((D,(A,C)),B);","(D,(C,(A,B)));",0,2,0
ete3,17,"((((A,B),C),D),(((B,A),C),D));","(D,(C,(A,B)));",1,0,4
reconcILS,18,"((D,((A,A),B)),C);","(D,(C,(,B)));",1,1,0
ete3,18,"((((B,A),C),D),((C,(B,(A,A))),D));","(D,(C,(,B)));",2,0,3
reconcILS,19,"(D,(A,(C,B)));","(D,(C,(A,B)));",0,1,0
ete3,19,"((((A,B),C),((B,A),C)),D);","(D,(C,(A,B)));",1,0,3
reconcILS,20,"((C,D),(A,B));","(D,(C,(A,B)));",0,1,0
ete3,20,"(((C,(B,A)),D),(((B,A),C),D));","(D,(C,(A,B)));",1,0,3
reconcILS,21,"(((A,B),A),(D,C));","(D,(C,(,B)));",1,2,0
ete3,21,"((((B,A),C),D),((C,((B,A),(B,A))),D));","(D,(C,(,B)));",2,0,4
reconcILS,22,"((C,(B,A)),D);","(D,(C,(A,B)));",0,0,0
ete3,22,"(D,((A,B),C));","(D,(C,(A,B)));",0,0,0
reconcILS,23,"(D,((A,B),C));","(D,(C,(A,B)));",0,0,0
ete3,23,"((C,(B,A)),D);","(D,(C,(A,B)));",0,0,0
reconcILS,24,"(D,((B,C),A));","(D,(C,(A,B)));",0,1,0
ete3,24,"((((B,A),C),((A,B),C)),D);","(D,(C,(A,B)));",1,0,3
reconcILS,25,"(((C,A),D),B);","(D,(C,(A,B)));",0,2,0
ete3,25,"((((A,B),C),D),(D,((B,A),C)));","(D,(C,(A,B)));",1,0,4
