Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,9048,"((((((((((((AA,AA),AA),AA),AA),G),(Z,AB)),((X,(U,((W,V),(Y,((T,T),T))))),(((M,I),(J,((((Q,R),S),P),O))),((K,L),(N,H))))),C),(F,((E,E),(D,D)))),(B,A)),AC),AC);","(,(B,(A,((F,(,)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(,((V,W),U)))))))))));",7,13,3
ete3,9048,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(AC,(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((A,((((D,D),(E,E)),F),(C,((((((((M,I),J),((H,N),(L,K))),O),((S,R),(Q,P))),(((((((K,L),(N,H)),((M,I),J)),O),(((S,R),(Q,P)),(((R,S),(Q,P)),((S,R),(P,Q))))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),(((((K,L),(N,H)),(J,(I,M))),O),((S,R),(Q,P))))),(((((((U,(W,V)),(T,(T,T))),X),Y),((((U,(V,W)),T),X),Y)),(((((W,V),U),T),X),Y)),((((U,(W,V)),T),X),Y))),(((G,Z),(AA,AB)),((Z,G),(AB,(AA,(AA,(AA,(AA,AA))))))))))),B))));","(,(B,(A,((F,(,)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(,((V,W),U)))))))))));",10,0,130
reconcILS,9055,"(((((((((AA,AA),((Z,Z),G)),AB),((Y,((X,U),(((W,V),W),T))),((Q,((((S,R),S),R),P)),((O,O),(((((((M,M),I),M),K),L),L),(I,((J,J),(((N,H),H),H)))))))),(F,D)),A),B),AC),C);","(AC,(B,(A,((F,(D,E)),(C,(((AB,),(G,)),((((P,Q),(R,S)),(,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,),U)))))))))));",12,17,5
ete3,9055,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(AC,(B,(A,((C,(((((((((K,L),((N,H),((N,H),(H,N)))),((M,I),(J,J))),(((K,L),(N,H)),((M,I),J))),((((K,L),(N,H)),((M,I),J)),((((K,L),(N,H)),((M,I),J)),(((L,K),(N,H)),(J,((I,M),(I,(M,M)))))))),(O,O)),(((Q,P),((S,R),((R,S),(R,S)))),((S,R),(P,Q)))),(((X,((U,((V,W),(V,W))),T)),((((W,V),U),T),X)),Y)),(((Z,G),(AA,AB)),((AB,(AA,AA)),(G,(Z,Z)))))),((E,D),F))))));","(AC,(B,(A,((F,(D,E)),(C,(((AB,),(G,)),((((P,Q),(R,S)),(,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,),U)))))))))));",14,0,69
reconcILS,9863,"((((((((AB,AA),(Z,G)),(((Y,Y),((X,X),((W,V),(U,T)))),((((S,S),R),(Q,(P,P))),(O,(((K,K),L),(((M,I),J),H)))))),((F,F),((E,E),(D,D)))),C),A),B),AC);","(AC,(B,(A,((,(,)),(C,(((AB,AA),(G,Z)),((((,Q),(R,)),(O,((J,(I,M)),((H,N),(L,))))),(,(,(T,((V,W),U)))))))))));",8,3,1
ete3,9863,"(AC,(B,(A,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),((C,((((((((K,L),(N,H)),(J,(I,M))),(((N,H),(L,(K,K))),((M,I),J))),O),(((P,P),Q),(R,(S,S)))),((((((W,V),U),T),((U,(V,W)),T)),(X,X)),(Y,Y))),((G,Z),(AA,AB)))),(((D,D),(E,E)),(F,F)))))));","(AC,(B,(A,((,(,)),(C,(((AB,AA),(G,Z)),((((,Q),(R,)),(O,((J,(I,M)),((H,N),(L,))))),(,(,(T,((V,W),U)))))))))));",11,0,44
reconcILS,9943,"((AC,AC),(((((((Z,G),AB),AA),((Y,(X,(((V,W),U),T))),((Q,((S,R),P)),(((K,((L,L),N)),(((J,J),(M,(I,I))),O)),H)))),((E,D),(A,C))),(B,B)),F));","(,(,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",6,11,4
ete3,9943,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((B,B),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(F,(D,E))),A)),(((C,((((((((K,L),(N,H)),((M,I),J)),O),(((((K,L),(N,H)),(((I,I),M),(J,J))),O),((((M,I),J),(((K,(L,L)),(H,N)),((L,K),(N,H)))),O))),(((Q,P),(R,S)),((S,R),(P,Q)))),(((T,(U,(W,V))),X),Y)),(((Z,G),(AB,AA)),((AA,AB),(G,Z))))),((E,D),F)),A)))),(AC,AC));","(,(,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",11,0,103
reconcILS,185,"(((((((Z,AA),G),AB),((X,(Y,(((W,V),(U,U)),T))),((((S,R),Q),P),((O,O),((M,(J,I)),((K,(L,N)),(H,H))))))),(((F,(E,(D,D))),A),(B,C))),AC),AC);","(,(B,(A,((F,(,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(,((J,(I,M)),((,N),(L,K))))),(Y,(X,(T,((V,W),)))))))))));",5,13,0
ete3,185,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(AC,((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),(B,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(((D,D),E),F)),A))),((((C,((((((((K,L),(N,(H,H))),(((K,L),(H,N)),((L,K),(N,H)))),(((M,I),J),((I,M),J))),(O,O)),(((S,R),(Q,P)),((P,Q),(R,S)))),(((X,(T,((U,U),(V,W)))),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AA,AB)),(((Z,G),(AA,AB)),((G,Z),(AB,AA)))))),((E,D),F)),A),B))));","(,(B,(A,((F,(,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(,((J,(I,M)),((,N),(L,K))))),(Y,(X,(T,((V,W),)))))))))));",11,0,113
reconcILS,712,"((AC,((((((((Z,AA),G),AB),((Y,(X,((((W,W),V),((U,U),U)),T))),((((S,R),Q),P),((O,O),((K,N),(J,((M,I),(I,(L,H))))))))),C),(F,(E,D))),A),(B,B))),AC);","(,(,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,),)))))))))));",7,8,5
ete3,712,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(((B,B),(A,(((D,E),F),(C,((((((((((M,I),J),((K,L),(N,H))),(((K,L),(N,H)),(J,(I,M)))),(((K,L),(N,H)),((M,I),J))),(((M,I),J),((L,K),(H,N)))),(O,O)),(((S,R),(Q,P)),((P,Q),(R,S)))),(((T,((U,(U,U)),(V,(W,W)))),X),Y)),(((Z,G),(AA,AB)),(((Z,G),(AA,AB)),((G,Z),(AB,AA))))))))),AC));","(,(,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,),)))))))))));",8,0,55
reconcILS,1869,"((((((((Z,(G,G)),(AB,AB)),AA),((Y,(X,((W,V),(U,T)))),(((S,R),(Q,P)),(O,((K,L),((J,(M,I)),(N,H))))))),C),(B,(F,(E,D)))),(A,A)),(AC,AC));","(,(B,(,((F,(D,E)),(C,(((,AA),(,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",4,5,0
ete3,1869,"((AC,AC),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),(A,A)),B),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A),B),(((((E,D),F),(C,((((((((K,L),(H,N)),((I,M),J)),(((N,H),(L,K)),((M,I),J))),O),((P,Q),(R,S))),((((((W,V),U),T),((U,(V,W)),T)),X),Y)),(((Z,G),(AB,AA)),((AA,(AB,AB)),((G,G),Z)))))),A),B))));","(,(B,(,((F,(D,E)),(C,(((,AA),(,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",8,0,68
reconcILS,2110,"((AC,((((((Z,(G,G)),AA),AB),((X,(Y,(((W,V),(U,U)),T))),((Q,((S,R),P)),((O,O),((K,L),((J,(M,I)),(N,H))))))),((F,(E,D)),(B,C))),A)),AC);","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",4,8,3
ete3,2110,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A),B)),((((C,((((((((K,L),(H,N)),((I,M),J)),(((N,H),(L,K)),((M,I),J))),(O,O)),(((Q,P),(R,S)),((S,R),(P,Q)))),(((X,(T,((U,U),(V,W)))),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AA,AB)),((AB,AA),((G,G),Z))))),((E,D),F)),A),B))),AC));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",9,0,139
reconcILS,3569,"((AC,((((((Z,G),AB),AA),((Y,(X,(((W,V),(((U,U),U),U)),T))),(((S,R),(Q,P)),(O,((J,(M,I)),(((K,K),L),(((N,N),N),H))))))),((F,(E,D)),(C,C))),A)),B);","(AC,(B,(A,((F,(D,E)),(,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,),(L,))))),(Y,(X,(T,((V,W),)))))))))));",7,3,0
