Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,0,"((AC,AC)D,((((((((G,AA)1I  AA,AB)1I  G,Z),((Y,(X,(((W,V),(U,U)D),T))),((P,(M,(K,(N,H)))),((S,(Q,P)),(O,((J,(M,I)),((K,L),(N,H))))))D)),C),(F,(E,D))),A),B));","(1-0-0   0-0-0   AC,(0-0-0   0-0-0   B,(0-0-0   0-0-0   A,((0-0-0   0-0-0   F,(0-0-0   0-0-0   D,0-0-0   0-0-0   E)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-0   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-1-0   0-0-0   ,(0-0-0   0-0-2   G,0-0-0   0-0-2   Z)0-1-0   0-0-0   )0-0-0   1-0-0   ,((((0-0-0   0-0-0   P,0-0-1   0-0-1   Q)0-0-0   0-0-0   ,(0-0-1   0-0-2   R,0-0-0   0-0-1   S)0-0-1   0-0-0   )0-0-0   0-0-0   ,(0-0-1   0-0-1   O,((0-0-1   0-0-1   J,(0-0-1   0-0-1   I,0-0-0   0-0-0   M)0-0-0   0-0-0   )0-0-0   0-0-0   ,((0-0-0   0-0-0   H,0-0-0   0-0-0   N)0-0-0   0-0-0   ,(0-0-1   0-0-1   L,0-0-0   0-0-0   K)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )1-0-0   1-0-0   ,(0-0-0   0-0-0   Y,(0-0-0   0-0-0   X,(0-0-0   0-0-0   T,((0-0-0   0-0-0   V,0-0-0   0-0-0   W)0-0-0   0-0-0   ,1-0-0   1-0-0   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   ;",3,2,7
ete3,0,"((B,(A,(((D,E),F),(C,((((((((H,N),(L,K)),((I,M),J)),O),((R,S),(P,Q))),((O,(((I,M),J),((L,K),(H,N)))),((S,R),(Q,P)))),(((T,((U,U),(V,W))),X),Y)),(((G,Z),(AA,AB)),(((Z,G),(AA,AB)),((Z,G),(AB,AA))))))))),(AC,AC));","(1-0-0   0-0-0   AC,(0-0-0   0-0-0   B,(0-0-0   0-0-0   A,((0-0-0   0-0-0   F,(0-0-0   0-0-0   D,0-0-0   0-0-0   E)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-0   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-1-0   0-0-0   ,(0-0-0   0-0-2   G,0-0-0   0-0-2   Z)0-1-0   0-0-0   )0-0-0   1-0-0   ,((((0-0-0   0-0-0   P,0-0-1   0-0-1   Q)0-0-0   0-0-0   ,(0-0-1   0-0-2   R,0-0-0   0-0-1   S)0-0-1   0-0-0   )0-0-0   0-0-0   ,(0-0-1   0-0-1   O,((0-0-1   0-0-1   J,(0-0-1   0-0-1   I,0-0-0   0-0-0   M)0-0-0   0-0-0   )0-0-0   0-0-0   ,((0-0-0   0-0-0   H,0-0-0   0-0-0   N)0-0-0   0-0-0   ,(0-0-1   0-0-1   L,0-0-0   0-0-0   K)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )1-0-0   1-0-0   ,(0-0-0   0-0-0   Y,(0-0-0   0-0-0   X,(0-0-0   0-0-0   T,((0-0-0   0-0-0   V,0-0-0   0-0-0   W)0-0-0   0-0-0   ,1-0-0   1-0-0   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   ;",3,0,12
reconcILS,1,"((AC,((B,A)1I  F-E-C-D+1I  A,((F,(E,D)),C)1I  C)1I  A-E-F-C-D)1I  A-B-E-F-C-D,((((Z,G),AB)1I  AB,AA),((Y,(X,(((W,V),(U,U)D),T))),(((S,((R,R)D,R)D),(Q,(P,P)D)),(((J,M)1I  M,I),((K,L),(N,(O,H)1I  H)1I  H-N))D))));","(0-1-0   0-0-0   AC,(0-1-0   0-0-2   B,(0-0-0   0-0-2   A,((0-0-0   0-0-2   F,(0-0-0   0-0-2   D,0-0-0   0-0-2   E)0-0-0   0-0-0   )0-1-0   0-0-0   ,(0-0-0   0-0-2   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-0-0   0-0-0   ,(0-0-0   0-0-3   G,0-0-0   0-0-3   Z)0-1-0   0-0-0   )0-0-0   1-0-0   ,((((1-0-0   1-0-2   P,0-0-0   0-0-2   Q)0-0-0   0-0-0   ,(2-0-0   1-0-2   R,0-0-0   0-0-2   S)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-1-1   0-0-5   O,((0-0-0   0-0-6   J,(0-0-0   0-0-6   I,0-0-0   0-0-6   M)0-1-0   0-0-0   )0-0-1   1-0-0   ,((0-0-0   0-0-5   H,0-0-0   0-0-5   N)0-0-0   0-0-0   ,(0-0-0   0-0-5   L,0-0-0   0-0-5   K)0-0-0   0-0-0   )0-0-1   0-0-0   )0-1-0   0-0-0   )1-0-0   1-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-2   Y,(0-0-0   0-0-2   X,(0-0-0   0-0-2   T,((0-0-0   0-0-2   V,0-0-0   0-0-2   W)0-0-0   0-0-0   ,1-0-0   1-0-2   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-1-0   0-0-0   )0-1-0   0-0-0   )0-0-0   1-0-0   )0-0-0   1-0-0   ;",5,9,3
ete3,1,"((((((C,((((((((((K,L),(N,H)),((M,I),J)),O),((((K,L),(H,N)),((M,I),J)),O)),((((N,H),(L,K)),((M,I),J)),O)),((((K,L),(N,H)),(((M,I),J),((I,M),J))),O)),(((P,P),Q),((R,(R,R)),S))),(((T,((U,U),(V,W))),X),Y)),(((Z,G),(AB,AA)),((AA,AB),(G,Z))))),((E,D),F)),A),B),AC),((((A,((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F))),B),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B)),AC));","(0-1-0   0-0-0   AC,(0-1-0   0-0-2   B,(0-0-0   0-0-2   A,((0-0-0   0-0-2   F,(0-0-0   0-0-2   D,0-0-0   0-0-2   E)0-0-0   0-0-0   )0-1-0   0-0-0   ,(0-0-0   0-0-2   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-0-0   0-0-0   ,(0-0-0   0-0-3   G,0-0-0   0-0-3   Z)0-1-0   0-0-0   )0-0-0   1-0-0   ,((((1-0-0   1-0-2   P,0-0-0   0-0-2   Q)0-0-0   0-0-0   ,(2-0-0   1-0-2   R,0-0-0   0-0-2   S)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-1-1   0-0-5   O,((0-0-0   0-0-6   J,(0-0-0   0-0-6   I,0-0-0   0-0-6   M)0-1-0   0-0-0   )0-0-1   1-0-0   ,((0-0-0   0-0-5   H,0-0-0   0-0-5   N)0-0-0   0-0-0   ,(0-0-0   0-0-5   L,0-0-0   0-0-5   K)0-0-0   0-0-0   )0-0-1   0-0-0   )0-1-0   0-0-0   )1-0-0   1-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-2   Y,(0-0-0   0-0-2   X,(0-0-0   0-0-2   T,((0-0-0   0-0-2   V,0-0-0   0-0-2   W)0-0-0   0-0-0   ,1-0-0   1-0-2   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-1-0   0-0-0   )0-1-0   0-0-0   )0-0-0   1-0-0   )0-0-0   1-0-0   ;",8,0,81
reconcILS,2,"((((B,B)D,((E,D),((J,(M,H)1I  M),G))D+1I  H-G-J-M)2I  J-E-G-M-H-D,((AC,AC)D,A)1I  E-G-M-A-H-J-D+1I  A)1I  E-G-M-A-H-D-B-J,((((AB,AB)D,AA),((Z,Z)D,G)),((Y,(X,(((W,V),(U,U)D),T))),((((S,R),Q)1I  Q,P),(O,((J,(M,I)),((K,L),(N,H))))))));","(1-2-0   0-0-0   AC,(1-2-0   1-0-2   B,(0-0-0   0-0-2   A,((0-0-1   0-0-3   F,(0-0-0   0-0-2   D,0-0-0   0-0-2   E)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-1   0-0-3   C,(((1-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-0-1   0-0-0   ,(0-0-0   0-0-1   G,1-0-1   1-0-2   Z)0-0-0   0-0-0   )0-0-0   0-0-0   ,((((0-0-0   0-0-3   P,0-0-0   0-0-3   Q)0-1-0   0-0-0   ,(0-0-0   0-0-3   R,0-0-0   0-0-3   S)0-0-0   0-0-0   )0-0-1   1-0-0   ,(0-0-1   0-0-2   O,((0-0-0   0-0-2   J,(0-0-1   0-0-3   I,0-0-0   0-0-2   M)0-0-0   0-0-0   )0-0-0   0-0-0   ,((0-0-0   0-0-2   H,0-0-1   0-0-3   N)0-0-0   0-0-0   ,(0-0-0   0-0-3   L,0-0-0   0-0-3   K)0-0-1   0-0-0   )0-1-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-2   Y,(0-0-0   0-0-2   X,(0-0-0   0-0-2   T,((0-0-0   0-0-2   V,0-0-0   0-0-2   W)0-0-0   0-0-0   ,1-0-0   1-0-2   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-1   0-0-0   )0-0-0   0-0-0   )1-0-0   0-0-0   )0-1-0   0-0-0   )0-1-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   2-0-0   ;",6,8,10
ete3,2,"((((((C,(((((((H,N),(L,K)),((I,M),J)),O),(((S,R),(Q,P)),((P,Q),(R,S)))),(((T,((U,U),(V,W))),X),Y)),((G,(Z,Z)),(AA,(AB,AB))))),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),(AC,AC)),(AC,((A,((C,((((((U,(W,V)),T),X),Y),((O,((((K,L),(N,H)),((I,M),J)),(((K,L),(N,H)),((M,I),J)))),((S,R),(Q,P)))),((Z,G),(AA,AB)))),(F,(D,E)))),(B,B)))));","(1-2-0   0-0-0   AC,(1-2-0   1-0-2   B,(0-0-0   0-0-2   A,((0-0-1   0-0-3   F,(0-0-0   0-0-2   D,0-0-0   0-0-2   E)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-1   0-0-3   C,(((1-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-0-1   0-0-0   ,(0-0-0   0-0-1   G,1-0-1   1-0-2   Z)0-0-0   0-0-0   )0-0-0   0-0-0   ,((((0-0-0   0-0-3   P,0-0-0   0-0-3   Q)0-1-0   0-0-0   ,(0-0-0   0-0-3   R,0-0-0   0-0-3   S)0-0-0   0-0-0   )0-0-1   1-0-0   ,(0-0-1   0-0-2   O,((0-0-0   0-0-2   J,(0-0-1   0-0-3   I,0-0-0   0-0-2   M)0-0-0   0-0-0   )0-0-0   0-0-0   ,((0-0-0   0-0-2   H,0-0-1   0-0-3   N)0-0-0   0-0-0   ,(0-0-0   0-0-3   L,0-0-0   0-0-3   K)0-0-1   0-0-0   )0-1-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-2   Y,(0-0-0   0-0-2   X,(0-0-0   0-0-2   T,((0-0-0   0-0-2   V,0-0-0   0-0-2   W)0-0-0   0-0-0   ,1-0-0   1-0-2   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-1   0-0-0   )0-0-0   0-0-0   )1-0-0   0-0-0   )0-1-0   0-0-0   )0-1-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   2-0-0   ;",7,0,61
reconcILS,3,"((B,((((((G,AA)1I  AA,AB)1I  G,Z),((Y,(X,(((W,V),(U,U)D),T))),(((S,R),(Q,P)),(O,(((K,L),(J,(M,I)))1I  K-L,(N,H)))))),C),(F,(E,D))))1I  V-X-Z-Y-D-N-K-P-E-R-J-L-AA-Q-M-T-H-C-I-U-O-AB-G-S-F-W,A);","(0-0-1   0-0-0   AC,(0-1-0   0-0-1   B,(0-0-0   0-0-1   A,((0-0-0   0-0-1   F,(0-0-0   0-0-1   D,0-0-0   0-0-1   E)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-1   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-0-0   0-0-0   ,(0-0-0   0-0-3   G,0-0-0   0-0-3   Z)0-2-0   0-0-0   )0-0-0   1-0-0   ,((((0-0-0   0-0-1   P,0-0-0   0-0-1   Q)0-0-0   0-0-0   ,(0-0-0   0-0-1   R,0-0-0   0-0-1   S)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-1   O,((0-0-0   0-0-2   J,(0-0-0   0-0-2   I,0-0-0   0-0-2   M)0-0-0   0-0-0   )0-1-0   0-0-0   ,((0-0-0   0-0-2   H,0-0-0   0-0-2   N)0-0-0   0-0-0   ,(0-0-0   0-0-2   L,0-0-0   0-0-2   K)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-1   Y,(0-0-0   0-0-1   X,(0-0-0   0-0-1   T,((0-0-0   0-0-1   V,0-0-0   0-0-1   W)0-0-0   0-0-0   ,1-0-0   1-0-1   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   ;",1,4,1
ete3,3,"(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((A,(((D,E),F),(C,((((((((K,L),(H,N)),((M,I),J)),(((N,H),(L,K)),((I,M),J))),O),((P,Q),(R,S))),(((T,((U,U),(V,W))),X),Y)),(((G,Z),(AA,AB)),(((Z,G),(AA,AB)),((Z,G),(AB,AA)))))))),B));","(0-0-1   0-0-0   AC,(0-1-0   0-0-1   B,(0-0-0   0-0-1   A,((0-0-0   0-0-1   F,(0-0-0   0-0-1   D,0-0-0   0-0-1   E)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-1   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-0-0   0-0-0   ,(0-0-0   0-0-3   G,0-0-0   0-0-3   Z)0-2-0   0-0-0   )0-0-0   1-0-0   ,((((0-0-0   0-0-1   P,0-0-0   0-0-1   Q)0-0-0   0-0-0   ,(0-0-0   0-0-1   R,0-0-0   0-0-1   S)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-1   O,((0-0-0   0-0-2   J,(0-0-0   0-0-2   I,0-0-0   0-0-2   M)0-0-0   0-0-0   )0-1-0   0-0-0   ,((0-0-0   0-0-2   H,0-0-0   0-0-2   N)0-0-0   0-0-0   ,(0-0-0   0-0-2   L,0-0-0   0-0-2   K)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-1   Y,(0-0-0   0-0-1   X,(0-0-0   0-0-1   T,((0-0-0   0-0-1   V,0-0-0   0-0-1   W)0-0-0   0-0-0   ,1-0-0   1-0-1   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   ;",3,0,37
reconcILS,4,"((((F,(E,D)),C)1I  C,AC)1I  C-E-F-D,(((((Z,G),AA)1I  AA,AB),(((X,Y)1I  X,(((W,V),U),T)),((Q,((S,R),P)1I  P),(M,((((J,O)D+1I  I+2I  J,(((K,L),N)1I  N,H))1I  J-I+1I  N-L-K-H-J,I)1I  N-L-H-I-K-J,I))D))),(B,(A,A)D)1I  V-X-Z-Y-N-K-P-R-J-L-AA-Q-T-M-H-I-U-O-AB-G-S-W+1I  A)1I  L-V-A-AA-Q-X-Z-M-T-H-Y-I-U-O-N-AB-K-P-G-S-R-W-J);","(0-0-0   0-0-0   AC,(0-1-0   0-0-2   B,(1-0-0   1-0-2   A,((0-0-0   0-0-2   F,(0-0-0   0-0-2   D,0-0-0   0-0-2   E)0-0-0   0-0-0   )0-1-0   0-0-0   ,(0-0-0   0-0-2   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-0-0   0-0-0   ,(0-0-0   0-0-3   G,0-0-0   0-0-3   Z)0-1-0   0-0-0   )0-0-0   1-0-0   ,((((0-0-0   0-0-3   P,0-0-0   0-0-3   Q)0-0-0   0-0-0   ,(0-0-0   0-0-3   R,0-0-0   0-0-3   S)0-1-0   0-0-0   )0-0-0   1-0-0   ,(0-3-1   0-0-6   O,((0-0-1   0-0-6   J,(1-0-1   0-0-5   I,0-0-1   0-0-6   M)0-1-0   0-0-0   )0-1-0   0-0-0   ,((0-0-0   0-0-7   H,0-0-0   0-0-7   N)0-1-0   0-0-0   ,(0-0-0   0-0-7   L,0-0-0   0-0-7   K)0-0-0   0-0-0   )0-1-1   1-0-0   )0-0-0   0-0-0   )1-0-0   1-0-0   )0-0-0   0-0-0   ,(0-1-0   0-0-3   Y,(0-0-0   0-0-3   X,(0-0-0   0-0-3   T,((0-0-0   0-0-3   V,0-0-0   0-0-3   W)0-0-0   0-0-0   ,0-0-0   0-0-3   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-1-0   0-0-0   )0-1-0   0-0-0   )0-1-0   1-0-0   )0-0-0   1-0-0   ;",3,15,5
ete3,4,"((AC,(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),(A,A)),B),((((C,(((((((((K,L),(N,H)),((M,I),J)),O),(((((K,L),(N,H)),((M,I),J)),O),(((((M,I),J),(((K,L),(N,H)),((H,N),(L,K)))),O),((((K,L),(N,H)),((M,I),J)),O)))),((((K,L),(N,H)),((I,M),J)),O)),(((Q,P),(R,S)),((S,R),(P,Q)))),(((X,(T,(U,(V,W)))),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AA,AB)),((AB,AA),(G,Z))))),((E,D),F)),A),B))),(((A,((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F))),B),AC));","(0-0-0   0-0-0   AC,(0-1-0   0-0-2   B,(1-0-0   1-0-2   A,((0-0-0   0-0-2   F,(0-0-0   0-0-2   D,0-0-0   0-0-2   E)0-0-0   0-0-0   )0-1-0   0-0-0   ,(0-0-0   0-0-2   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-0-0   0-0-0   ,(0-0-0   0-0-3   G,0-0-0   0-0-3   Z)0-1-0   0-0-0   )0-0-0   1-0-0   ,((((0-0-0   0-0-3   P,0-0-0   0-0-3   Q)0-0-0   0-0-0   ,(0-0-0   0-0-3   R,0-0-0   0-0-3   S)0-1-0   0-0-0   )0-0-0   1-0-0   ,(0-3-1   0-0-6   O,((0-0-1   0-0-6   J,(1-0-1   0-0-5   I,0-0-1   0-0-6   M)0-1-0   0-0-0   )0-1-0   0-0-0   ,((0-0-0   0-0-7   H,0-0-0   0-0-7   N)0-1-0   0-0-0   ,(0-0-0   0-0-7   L,0-0-0   0-0-7   K)0-0-0   0-0-0   )0-1-1   1-0-0   )0-0-0   0-0-0   )1-0-0   1-0-0   )0-0-0   0-0-0   ,(0-1-0   0-0-3   Y,(0-0-0   0-0-3   X,(0-0-0   0-0-3   T,((0-0-0   0-0-3   V,0-0-0   0-0-3   W)0-0-0   0-0-0   ,0-0-0   0-0-3   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-1-0   0-0-0   )0-1-0   0-0-0   )0-1-0   1-0-0   )0-0-0   1-0-0   ;",8,0,99
