Repliccate,Gene_trees
5110,"((((W,V),B),U),(O,((S,P),((Q,T),(K,((N,M),((((D,J),H),E),(L,(((F,I),G),C)))))))));"
5992,"(((((B,V),W),U),(((S,T),(((R,O),Q),P)),(G,(((((((((((C,(N,M)),J),E),F),L),F),D),H),I),K),K)))),A);"
10930,"(A,((((U,B),W),V),(((Q,T),O),((R,P),(S,(G,(((((((C,I),J),F),E),H),D),(((K,N),L),M))))))));"
1405,"((((W,V),(U,B)),((S,((R,Q),(P,O))),(J,((((N,M),((L,G),H)),K),((((E,D),F),I),C))))),A);"
6327,"(((((W,V),(U,B)),((((((((((E,M),C),(L,K)),D),G),H),F),N),J),I)),(S,(P,((R,Q),(T,O))))),A);"
2803,"(A,((((U,B),V),W),((((P,S),Q),R),(((F,I),L),(((N,M),((G,(H,D)),E)),(J,(K,C)))))));"
5260,"(((((W,V),B),U),(((S,T),(((((P,P),Q),R),O),(L,((N,M),K)))),(((I,C),J),(((E,G),F),D)))),A);"
2031,"((((U,B),W),V),(A,((T,(R,((((P,Q),P),S),O))),(((((((((((J,I),L),G),N),F),C),M),K),D),E),H))));"
7625,"((((B,V),(U,W)),((S,((R,Q),P)),((E,D),((L,K),(M,((((G,N),F),H),(I,(J,C)))))))),A);"
7785,"((B,((U,V),W)),(A,((((R,Q),T),(((S,O),P),S)),(J,((((((((((E,M),C),L),H),N),I),D),F),G),K)))));"
55,"((((((U,V),W),B),((((O,P),(R,Q)),T),S)),((F,I),((((N,L),K),J),((((G,H),E),D),C)))),A);"
6254,"(((((B,V),V),U),W),((R,Q),((E,(((K,H),J),(L,((N,M),(((I,C),F),G))))),(P,(O,(S,(((A,A),A),T)))))));"
11468,"((((((K,(H,((((((D,Q),F),M),N),G),(T,J)))),(((((((((P,O),E),H),S),L),C),R),I),R)),W),V),(U,B)),A);"
8989,"(((W,V),B),((S,(P,((R,Q),O))),(T,(J,((((M,K),I),L),(H,(((F,E),D),((N,G),C))))))));"
3686,"(((((U,B),W),V),(T,((((S,Q),R),P),O))),(((N,M),(L,K)),(E,(((((((I,D),H),G),F),J),C),I))));"
6778,"(((((U,B),V),W),((T,(S,(P,((R,O),Q)))),((((L,K),M),N),((((((H,F),E),C),J),G),I)))),A);"
8797,"(((((V,U),W),B),((((T,P),T),T),((R,Q),(S,(O,(((N,(L,K)),M),(((((((D,J),E),F),H),C),I),G))))))),A);"
1088,"(((((W,V),U),B),(T,(((P,P),O),((R,Q),(L,(M,(N,(((((I,J),((E,H),D)),F),C),G)))))))),A);"
6598,"((((((W,V),U),B),(I,((H,(((((D,F),E),J),G),(L,((N,M),K)))),C))),(T,(((R,Q),(S,P)),O))),A);"
3430,"(A,((((U,V),B),W),((T,(S,(((P,O),R),Q))),(((L,(N,M)),K),(H,(((((F,G),I),C),E),J))))));"
6397,"(((((((((W,V),U),B),J),(((((((((((C,S),O),N),Q),L),R),E),M),P),D),H)),(T,K)),(F,G)),I),A);"
6696,"((((U,B),W),V),((S,((Q,((R,T),P)),O)),(((N,M),(L,K)),(((((((F,C),G),H),J),I),D),E))));"
7419,"((((((U,B),V),W),((((P,O),Q),R),(S,((L,K),((((((((J,(I,C)),F),H),N),G),D),E),M))))),T),A);"
3613,"(((((W,V),B),(T,((N,((S,((R,Q),(P,O))),J)),((((((((H,K),D),F),E),I),C),M),L)))),U),A);"
5597,"((((U,B),W),V),((R,Q),(((P,T),O),(((H,D),((((((E,L),G),F),K),((N,M),J)),(I,C))),(A,S)))));"
7990,"((T,((S,(((P,R),Q),O)),(E,(D,(I,((M,((H,H),((N,L),K))),(((J,F),G),C))))))),(((U,V),B),W));"
1875,"((A,((((((P,T),Q),((O,O),O)),S),R),((((((((((((G,N),F),E),K),H),I),C),J),G),D),M),L))),((((V,V),U),W),(B,B)));"
1628,"((S,((A,(((U,(B,W)),V),(((N,M),((((G,K),F),L),H)),(E,(D,C))))),((R,P),Q))),(O,J));"
5278,"((((B,V),(U,W)),((S,(T,(P,((Q,R),O)))),(I,((L,(M,(N,K))),(J,((((F,E),H),D),C)))))),A);"
4279,"(((((((B,V),U),W),((E,D),(((N,M),(L,K)),(((H,J),F),I)))),S),(T,(((Q,R),P),O))),A);"
3456,"(((((W,V),B),U),(F,((N,M),(((P,(L,(E,(G,(T,K))))),J),(((((((S,O),Q),H),I),C),D),R))))),A);"
5294,"(A,(U,((B,V),(((S,((R,Q),(P,O))),((((N,M),L),K),(J,((((((C,D),F),I),H),E),G)))),W))));"
1673,"(((((W,V),B),(((S,T),(((Q,O),P),R)),((G,((N,L),(M,K))),((((((D,H),F),I),C),E),J)))),U),A);"
8738,"(((((W,V),U),B),((T,(S,(((Q,O),P),R))),(N,(((L,K),J),(((E,H),D),(G,((I,F),C))))))),A);"
153,"(((((U,V),W),B),F),(O,((S,(E,(D,J))),((L,H),((((G,P),C),I),(((R,Q),T),((N,K),M)))))));"
5983,"(((((U,V),B),W),((((O,R),P),Q),(T,((S,S),(((((((((((C,K),I),E),L),J),D),H),F),N),G),M))))),A);"
9664,"((((W,V),B),((S,((R,P),O)),(T,(((I,M),N),((G,K),(L,((F,J),(((E,H),D),C)))))))),A);"
3864,"((((B,W),V),((S,(((R,Q),P),O)),(T,(((G,((F,I),((E,H),D))),((M,(N,(L,K))),J)),C)))),A);"
1341,"(A,(((((U,B),V),W),(S,(((T,(R,P)),P),O))),((D,J),(((E,H),(L,(I,K))),(((F,G),N),C)))));"
6843,"(A,((((U,B),W),V),((S,((R,Q),(P,O))),(E,(F,(((N,K),((J,L),G)),(((D,H),I),C)))))));"
8952,"(((((((((B,V),(U,J)),I),N),((((H,G),E),F),D)),C),((S,T),((L,R),(K,(W,(P,O)))))),Q),A);"
8978,"((A,V),((((S,((Q,P),R)),(O,(T,(((N,L),K),(((F,I),((E,H),D)),(J,C)))))),(U,B)),W));"
1548,"((((((((((W,V),(U,B)),A),F),(((((I,G),C),E),D),H)),T),(((((O,P),N),M),K),(L,J))),S),Q),R);"
7671,"(((((U,B),W),V),((S,((T,P),(R,O))),(N,((M,(L,K)),(F,(((((E,H),D),C),J),G)))))),A);"
9425,"((((B,W),V),(U,(T,((((S,O),Q),R),(((H,(E,D)),P),(((F,G),I),((((((C,J),M),J),N),K),L))))))),A);"
3854,"((((W,V),U),B),(((D,(Q,(R,((S,T),(P,O))))),(((N,M),(F,G)),(((H,E),L),J))),(I,(K,C))));"
6599,"((((((B,W),V),U),(R,((Q,P),((S,T),O)))),(L,(I,(M,((((((((J,N),D),H),F),G),K),E),C))))),A);"
10543,"((((((((B,(U,W)),V),O),((P,R),Q)),T),S),((D,((((L,N),M),K),J)),(((((I,E),C),F),H),G))),A);"
7543,"(((((U,B),W),V),((((S,Q),T),O),((((L,(N,M)),K),J),(((F,I),(G,(E,(H,D)))),C)))),A);"
799,"((((((B,W),V),U),((M,(L,K)),(((H,E),D),(J,((((G,F),F),I),C))))),(S,((Q,(R,T)),O))),P);"
2958,"(A,((((I,I),V),(((((((((((((((((((((((D,O),C),K),Q),H),N),B),U),S),K),E),T),J),F),M),R),J),P),L),G),H),T),G)),W));"
3482,"((((B,V),W),((T,(S,(((R,Q),P),O))),(((N,M),(L,K)),(J,(E,((((G,F),H),(I,C)),D)))))),A);"
8071,"((Q,((((((B,A),(((U,V),J),W)),((((((H,D),E),F),L),G),N)),H),C),(P,((S,R),O)))),(T,((I,M),K)));"
8109,"((((W,V),B),U),(((O,(R,(T,P))),(S,Q)),(D,(F,(I,(H,(E,(G,(J,((L,((M,N),K)),C))))))))));"
9447,"(((((((((((((U,B),W),(N,M)),K),(J,(((F,G),I),(((D,E),H),C)))),L),S),O),P),Q),R),T),A);"
8230,"((((((T,((((P,P),R),Q),(S,O))),(((N,M),K),(L,(J,(H,(D,(E,((F,G),C)))))))),V),(B,W)),U),A);"
3909,"((((B,V),(U,W)),(((S,T),(((R,Q),P),O)),(J,((((H,I),G),D),(F,((N,(L,(M,K))),C)))))),A);"
1158,"((((B,(((((N,M),((S,T),(Q,((P,R),O)))),(L,K)),(G,(((((H,E),I),F),D),(J,C)))),W)),V),U),A);"
2444,"(A,((((U,V),B),W),((S,(((R,Q),P),(T,O))),(((N,L),(M,K)),(M,((((((((J,E),H),I),H),G),C),F),D))))));"
10388,"((((U,B),W),V),(A,(T,(((R,Q),S),((O,P),(((D,E),(((N,M),L),(I,K))),((((J,G),H),F),C)))))));"
11041,"((((B,((T,(S,(((Q,R),P),(O,(F,(L,(((I,H),J),((((((C,D),K),E),M),M),G)))))))),W)),V),U),A);"
3651,"(((((I,((F,G),((D,H),E))),K),(J,((N,M),(L,C)))),(((B,V),W),U)),(R,((S,T),((Q,O),P))));"
7008,"((((U,B),W),V),(((S,T),(((Q,P),R),O)),((((N,M),L),K),((E,(H,D)),(J,(F,((G,I),C)))))));"
8569,"(((((S,(T,(((R,Q),P),O))),(K,(J,(I,(H,((((E,F),G),D),((N,M),C))))))),(U,B)),V),A);"
11272,"((((W,V),(U,B)),(S,((T,(((Q,R),P),O)),(L,(((G,K),(((((F,D),J),I),E),H)),((N,M),C)))))),A);"
920,"(((((((W,V),U),I),(F,((((E,H),D),(L,((N,M),K))),C))),J),G),(T,(Q,(R,((S,P),O)))));"
7115,"(((((U,V),B),(T,(((((Q,R),P),S),O),(L,((E,J),((((N,M),(H,D)),K),(((C,F),I),G))))))),W),A);"
2257,"((((W,V),(U,B)),(K,(P,((T,((S,(R,Q)),O)),(((N,M),L),(((G,E),H),((I,J),(F,C)))))))),A);"
11055,"(((((((((V,B),W),U),L),((((J,K),T),(N,M)),(G,(((F,H),D),(I,C))))),(R,Q)),(P,O)),S),A);"
4737,"((((U,V),(B,W)),((S,(T,(((Q,R),P),O))),((((N,M),L),K),(E,(J,((((F,G),C),D),H)))))),A);"
8564,"((((W,V),B),(S,((((R,Q),P),O),(T,(((N,M),L),(J,(((F,I),G),(((E,D),H),C)))))))),A);"
3915,"((((((B,V),U),(N,((L,K),((M,((E,H),D)),(J,((((G,G),I),F),C)))))),(S,(((P,R),Q),O))),T),A);"
10394,"((((W,U),B),V),((S,(T,((R,P),O))),((N,M),(K,((J,E),((((D,H),L),I),(((F,F),G),C)))))));"
188,"((((U,B),V),W),((T,(S,(R,(Q,(P,O))))),((((M,L),N),K),((((E,H),D),J),(G,(F,C))))));"
1234,"(A,((((W,V),U),B),((((T,(R,Q)),O),P),((S,S),(L,(K,((N,M),(I,(((((F,D),H),C),G),E)))))))));"
5748,"(A,(((B,U),V),((((R,Q),O),(S,(T,((N,M),(L,K))))),(P,((((((J,F),H),C),G),I),D)))));"
621,"((((((U,V),(B,B)),(W,W)),(S,(T,((Q,R),O)))),(((N,M),K),(J,((((((H,D),F),I),E),G),C)))),A);"
656,"(((((B,V),U),W),(T,(((R,Q),((P,P),O)),(S,((((N,M),L),K),(J,(((((((H,D),E),G),H),C),I),F))))))),A);"
3429,"((J,(((H,E),D),(I,((M,((L,(((S,T),P),((R,O),Q))),(N,K))),((G,F),C))))),(A,(((W,V),U),B)));"
3542,"((((U,W),V),B),((((N,M),L),K),((((S,T),(((R,Q),P),O)),J),((F,G),(E,(H,(D,C)))))));"
3633,"((((((U,B),V),W),(T,(Q,(O,((R,P),(S,((N,M),((L,K),(G,(((I,(((D,E),H),C)),J),F)))))))))),Q),A);"
7528,"((((B,V),U),(S,((((P,R),P),O),(T,(I,((K,L),((M,E),((F,((G,D),N)),((H,J),C))))))))),A);"
10982,"((((U,B),W),V),((T,(S,(R,(Q,(P,O))))),((N,M),(L,(K,((G,J),(F,(((E,H),D),(I,C)))))))));"
4252,"(((((U,B),V),W),(T,(O,((S,(R,(Q,P))),(G,((((((H,F),E),I),D),((N,M),(L,K))),(J,C))))))),A);"
6112,"((((U,B),V),(E,(((H,D),J),(G,((I,(F,(((N,M),(T,(R,((Q,(S,P)),O)))),(L,K)))),C))))),A);"
2561,"(A,(((((U,V),B),W),(((I,(((E,H),D),((N,M),(L,K)))),((F,G),J)),C)),(S,(((R,Q),P),O))));"
3370,"(A,(((((((((U,V),W),(((Q,R),P),O)),(T,J)),N),((((D,L),H),K),E)),(G,((I,F),C))),M),S));"
7788,"(((((U,V),W),B),(S,(((R,P),O),(T,(((((N,M),L),K),J),(G,(((((F,I),H),D),E),C))))))),A);"
9679,"(A,((((U,B),W),V),(O,(((Q,R),P),((S,T),(J,((L,((N,M),K)),(G,(((((H,E),C),I),D),F)))))))));"
7600,"(A,((((B,V),W),U),((S,((R,Q),O)),(((N,M),K),((L,I),(J,(E,((((C,F),G),H),D))))))));"
7773,"((((B,V),U),W),((((R,P),(S,P)),(T,O)),(((J,E),G),(((F,H),K),((I,(L,((N,M),D))),C)))));"
361,"((((W,V),((T,(S,(((Q,R),P),O))),(((((L,K),N),M),(J,(F,(I,(((E,H),D),(G,C)))))),B))),U),A);"
3228,"(((((U,V),B),W),(((T,P),(R,(S,(Q,O)))),(((H,D),E),((L,((N,K),M)),((F,G),(I,C)))))),A);"
7790,"(A,((((((((((((B,W),V),U),C),E),(G,(L,K))),(((H,D),J),H)),(N,M)),F),T),S),(((O,R),P),Q)));"
3962,"(((((B,W),V),((((N,M),L),K),(J,(((F,G),((E,D),H)),(I,C))))),(S,(T,(P,((R,Q),O))))),A);"
4922,"((((((B,W),V),U),(K,(L,((N,M),(G,(((((F,H),E),D),I),J)))))),((S,T),((P,(R,Q)),O))),A);"
6903,"(((((U,B),W),V),(S,(((R,Q),P),(T,((I,(O,K)),(L,(M,(J,(((((F,G),C),E),D),H))))))))),A);"
7876,"(((((B,V),U),W),((T,(S,(((P,R),Q),O))),((N,M),((L,K),(((((I,C),((H,E),D)),F),G),J))))),A);"
606,"(((((B,(U,W)),V),(((N,M),(L,K)),(J,((F,G),(((((H,D),C),E),I),H))))),((S,T),(R,P))),A);"
