Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,3329,"((((AC,AC),A),B),(((((((((((W,W),W),V),Y),((X,(U,U)),T)),(O,((((S,R),Q),P),((M,M),((J,J),(I,(((K,L),N),H))))))),AA),(G,G)),(Z,Z)),AB),((F,(E,D)),C)));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",9,17,4
ete3,3329,"((((A,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),((C,(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((G,(Z,Z)),(AA,AB))),(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,(G,G)),(AA,AB))),(((Z,G),(AB,AA)),((((O,(((((M,I),J),(((K,L),(N,H)),((H,N),(L,K)))),(((K,L),(N,H)),((M,I),(J,J)))),(((K,L),(N,H)),((I,(M,M)),J)))),(((S,R),(Q,P)),((P,Q),(R,S)))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Y,((((U,(W,V)),T),X),((((W,V),(U,U)),T),X))),((((U,(V,(W,(W,W)))),T),X),Y)))))))),((E,D),F)))),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),(AC,AC))));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",17,0,205
reconcILS,6847,"((((((((G,AA),Z),((AB,AB),AB)),((((X,X),Y),(((W,V),U),(((T,T),T),T))),((((S,R),Q),P),(O,((M,(I,I)),(J,((K,L),(N,(H,H))))))))),C),(B,(F,(E,D)))),A),(AC,AC));","(,(B,(A,((F,(D,E)),(C,(((,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(,M)),((,N),(L,K))))),(Y,(,(,((V,W),U)))))))))));",8,7,0
ete3,6847,"((AC,AC),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A),B),(((((E,D),F),(C,((((((((M,I),J),(((H,H),N),(L,K))),(((K,L),(N,H)),(J,((I,I),M)))),O),(((S,R),(Q,P)),((P,Q),(R,S)))),(((X,((T,(T,(T,T))),(U,(V,W)))),Y),((((U,(W,V)),T),(X,X)),Y))),(((Z,G),(AA,(AB,(AB,AB)))),(((G,Z),(AA,AB)),((Z,G),(AB,AA))))))),A),B))));","(,(B,(A,((F,(D,E)),(C,(((,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(,M)),((,N),(L,K))))),(Y,(,(,((V,W),U)))))))))));",11,0,88
reconcILS,8644,"((AC,AC),(((((((((Z,Z),G),AB),AA),((Y,(X,(((((W,W),W),V),U),T))),(((S,(R,R)),(((Q,Q),Q),P)),(O,((N,(J,(M,I))),((K,(L,L)),((H,H),H))))))),C),(F,(E,D))),A),B));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,)),((((P,),(,S)),(O,((J,(I,M)),((,N),(,K))))),(Y,(X,(T,((V,),U)))))))))));",10,3,0
ete3,8644,"((B,(A,(((D,E),F),(C,((((((((M,I),J),((N,(H,(H,H))),((L,L),K))),(((K,L),(H,N)),((I,M),J))),O),((P,(Q,(Q,Q))),((R,R),S))),(((T,(U,(V,(W,(W,W))))),X),Y)),(((Z,G),(AB,AA)),((AA,AB),(G,(Z,Z))))))))),(AC,AC));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,)),((((P,),(,S)),(O,((J,(I,M)),((,N),(,K))))),(Y,(X,(T,((V,),U)))))))))));",9,0,11
reconcILS,10605,"((((AC,AC),((AC,AC),AC)),A),(((((((((Z,G),AA),AA),AB),((X,Y),(U,(((W,W),V),T)))),(((R,Q),(S,P)),(O,((((J,K),L),(N,((M,M),I))),H)))),F),(((E,E),(D,D)),C)),B));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",9,9,16
ete3,10605,"((AC,((A,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(F,((D,D),(E,E)))),((C,(((((((U,(W,V)),T),X),Y),((((((K,L),(N,H)),((M,I),J)),((((K,L),(H,N)),(J,(I,(M,M)))),((((K,L),(N,H)),((M,I),J)),(((L,K),(N,H)),((M,I),J))))),O),(((R,S),(Q,P)),((S,R),(P,Q))))),((Z,G),(AA,AB))),(((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),(((X,(((U,(V,(W,W))),T),(((W,V),U),T))),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AA,AB)),(((Z,G),(AB,AA)),((AB,AA),(G,Z))))))),((E,D),F)))),B)),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((AC,(AC,AC)),(AC,AC))));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",13,0,122
reconcILS,2744,"((B,(((((((Z,G),AA),AB),((Y,(X,((U,U),((W,V),T)))),((Q,((S,((R,R),R)),P)),(O,((K,(L,L)),(((((J,J),J),J),((M,M),I)),(N,(H,H)))))))),C),(F,(E,D))),A)),AC);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(,S)),(O,((,(I,)),((,N),(,K))))),(Y,(X,(T,((V,W),)))))))))));",9,4,0
ete3,2744,"(AC,((A,(((D,E),F),(C,((((((((K,L),((H,H),N)),((I,(M,M)),(J,(J,(J,J))))),(((N,H),((L,L),K)),((M,I),J))),O),(((Q,P),((R,(R,R)),S)),((S,R),(P,Q)))),(((((U,(V,W)),T),(((W,V),(U,U)),T)),X),Y)),(((Z,G),(AA,AB)),((AB,AA),(G,Z))))))),B));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(,S)),(O,((,(I,)),((,N),(,K))))),(Y,(X,(T,((V,W),)))))))))));",10,0,14
